algorithm,gid,dataset,seed,status,valid_output,seconds,train_nmse,valid_nmse,id_test_nmse,ood_test_nmse,metric_complete,noise_sigma
pyoperon,g0045,feynman-bonus.20,4,no_valid_output,False,2.772,,,,,False,0.1
pyoperon,g0045,feynman-bonus.20,4,no_valid_output,False,2.798,,,,,False,0.05
pyoperon,g0033,feynman-iii.10.19,3,no_valid_output,False,2.907,,,,,False,0.01
pyoperon,g0045,feynman-bonus.20,4,no_valid_output,False,3.035,,,,,False,0.01
pyoperon,g0033,feynman-iii.10.19,4,no_valid_output,False,3.287,,,,,False,0.1
pyoperon,g0024,strogatz_predprey2,0,ok,False,6.144,0.06320101224399992,0.01965129389871078,0.03694592085932742,,False,0.05
pyoperon,g0011,Vladislavleva-4,3,ok,False,6.282,0.0769731941675562,0.07174369363901408,0.09005672240011048,,False,0.01
pyoperon,g0011,Vladislavleva-4,3,ok,False,6.329,0.07697303804335473,0.0717431459957465,0.09005804080153848,,False,0.05
pyoperon,g0013,feynman-i.43.31,3,ok,False,6.377,,,,,False,0.05
pyoperon,g0003,feynman-ii.27.18,0,ok,False,6.384,,,,,False,0.1
pyoperon,g0011,Vladislavleva-4,0,ok,False,6.397,0.09257159164843469,0.08445799042715486,0.12404011855168247,,False,0.1
pyoperon,g0011,Vladislavleva-4,0,ok,False,6.398,0.09256725282105718,0.08441357874701623,0.12394266151139108,,False,0.01
pyoperon,g0047,BPG5,2,ok,False,6.406,,,,,False,0.05
pyoperon,g0013,feynman-i.43.31,0,ok,False,6.504,,,,,False,0.05
pyoperon,g0003,feynman-ii.27.18,2,ok,False,6.508,,,,,False,0.01
pyoperon,g0013,feynman-i.43.31,0,ok,False,6.575,,,,,False,0.01
pyoperon,g0024,strogatz_predprey2,0,ok,False,6.659,0.06317426347020846,0.019331852798175942,0.0371425602535548,,False,0.1
pyoperon,g0003,feynman-ii.27.18,3,ok,False,6.726,,,,,False,0.01
pyoperon,g0003,feynman-ii.27.18,1,ok,False,6.89,,,,,False,0.05
pyoperon,g0003,feynman-ii.27.18,3,ok,False,6.933,,,,,False,0.05
pyoperon,g0004,Korns-4,3,ok,False,6.959,,,,,False,0.01
pyoperon,g0013,feynman-i.43.31,2,ok,False,6.97,,,,,False,0.01
pyoperon,g0011,Vladislavleva-4,3,ok,False,6.991,0.07697554477142214,0.07176999836002208,0.08999124147691769,,False,0.1
pyoperon,g0003,feynman-ii.27.18,0,ok,False,7.009,,,,,False,0.05
pyoperon,g0045,feynman-bonus.20,0,ok,False,7.023,,,,,False,0.05
pyoperon,g0025,strogatz_barmag2,2,ok,False,7.043,0.3277263739591961,0.18957472188440275,0.49896316317871175,,False,0.01
pyoperon,g0013,feynman-i.43.31,3,ok,False,7.058,,,,,False,0.01
pyoperon,g0035,feynman-i.32.5,2,ok,False,7.098,,,,,False,0.05
pyoperon,g0045,feynman-bonus.20,0,ok,False,7.112,,,,,False,0.1
pyoperon,g0032,feynman-i.13.12,3,ok,False,7.242,,,,,False,0.05
pyoperon,g0025,strogatz_barmag2,2,ok,False,7.258,0.32778161213767315,0.18789141040336196,0.5037674767124048,,False,0.05
pyoperon,g0032,feynman-i.13.12,3,ok,False,7.264,,,,,False,0.1
pyoperon,g0033,feynman-iii.10.19,2,ok,False,7.292,,,,,False,0.01
pyoperon,g0004,Korns-4,3,ok,False,7.304,,,,,False,0.05
pyoperon,g0032,feynman-i.13.12,0,ok,False,7.322,,,,,False,0.1
pyoperon,g0019,feynman-ii.34.2a,1,ok,False,7.332,,,,,False,0.05
pyoperon,g0013,feynman-i.43.31,4,ok,False,7.333,,,,,False,0.1
pyoperon,g0032,feynman-i.13.12,0,ok,False,7.416,,,,,False,0.05
pyoperon,g0003,feynman-ii.27.18,4,ok,False,7.446,,,,,False,0.05
pyoperon,g0030,feynman-iii.7.38,2,ok,False,7.48,,,,,False,0.01
pyoperon,g0035,feynman-i.32.5,3,ok,False,7.523,,,,,False,0.05
pyoperon,g0045,feynman-bonus.20,2,ok,False,7.532,,,,,False,0.01
pyoperon,g0003,feynman-ii.27.18,2,ok,False,7.532,,,,,False,0.05
pyoperon,g0013,feynman-i.43.31,4,ok,False,7.566,,,,,False,0.01
pyoperon,g0019,feynman-ii.34.2a,1,ok,False,7.569,,,,,False,0.1
pyoperon,g0018,feynman-i.18.16,4,ok,False,7.596,0.9381799029803485,0.9571206581557705,0.9619885831858715,,False,0.05
pyoperon,g0033,feynman-iii.10.19,0,ok,False,7.692,,,,,False,0.1
pyoperon,g0035,feynman-i.32.5,2,ok,False,7.702,,,,,False,0.01
pyoperon,g0003,feynman-ii.27.18,2,ok,False,7.758,,,,,False,0.1
pyoperon,g0030,feynman-iii.7.38,2,ok,False,7.761,,,,,False,0.05
pyoperon,g0003,feynman-ii.27.18,4,ok,False,7.78,,,,,False,0.01
pyoperon,g0047,BPG5,2,ok,False,7.87,,,,,False,0.01
pyoperon,g0024,strogatz_predprey2,0,ok,False,7.88,0.06314143365148696,0.019448813892774964,0.03663704897863201,,False,0.01
pyoperon,g0033,feynman-iii.10.19,1,ok,False,7.894,,,,,False,0.05
pyoperon,g0013,feynman-i.43.31,2,ok,False,7.916,,,,,False,0.05
pyoperon,g0032,feynman-i.13.12,2,ok,False,7.92,,,,,False,0.05
pyoperon,g0032,feynman-i.13.12,2,ok,False,7.996,,,,,False,0.01
pyoperon,g0035,feynman-i.32.5,1,ok,False,8.042,,,,,False,0.1
pyoperon,g0003,feynman-ii.27.18,4,ok,False,8.054,,,,,False,0.1
pyoperon,g0013,feynman-i.43.31,1,ok,False,8.105,,,,,False,0.05
pyoperon,g0013,feynman-i.43.31,4,ok,False,8.16,,,,,False,0.05
pyoperon,g0035,feynman-i.32.5,3,ok,False,8.176,,,,,False,0.1
pyoperon,g0035,feynman-i.32.5,1,ok,False,8.269,,,,,False,0.05
pyoperon,g0003,feynman-ii.27.18,3,ok,False,8.272,,,,,False,0.1
pyoperon,g0035,feynman-i.32.5,4,ok,False,8.359,,,,,False,0.01
pyoperon,g0035,feynman-i.32.5,4,ok,False,8.472,,,,,False,0.1
pyoperon,g0030,feynman-iii.7.38,1,ok,False,8.531,,,,,False,0.05
pyoperon,g0047,BPG5,2,ok,False,8.533,,,,,False,0.1
pyoperon,g0013,feynman-i.43.31,2,ok,False,8.539,,,,,False,0.1
pyoperon,g0013,feynman-i.43.31,1,ok,False,8.6,,,,,False,0.1
pyoperon,g0032,feynman-i.13.12,3,ok,False,8.6,,,,,False,0.01
pyoperon,g0035,feynman-i.32.5,2,ok,False,8.723,,,,,False,0.1
pyoperon,g0035,feynman-i.32.5,3,ok,False,8.917,,,,,False,0.01
pyoperon,g0046,II.6.15b_3_0,2,ok,False,8.923,,,,,False,0.05
pyoperon,g0045,feynman-bonus.20,0,ok,False,8.929,,,,,False,0.01
pyoperon,g0045,feynman-bonus.20,1,ok,False,8.993,,,,,False,0.05
pyoperon,g0032,feynman-i.13.12,1,ok,False,9.063,,,,,False,0.1
pyoperon,g0001,II.34.2_1_0,1,ok,False,9.128,0.10623202183110683,0.10778364600937285,0.10812092775070856,,False,0.05
pyoperon,g0018,feynman-i.18.16,4,ok,False,9.243,0.9381805863952756,0.9571124893230567,0.9620240586884524,,False,0.01
pyoperon,g0046,II.6.15b_3_0,2,ok,False,9.273,,,,,False,0.01
pyoperon,g0018,feynman-i.18.16,4,ok,False,9.414,0.9381820986355072,0.9570365464489323,0.9619456649025963,,False,0.1
pyoperon,g0025,strogatz_barmag2,2,ok,False,9.414,0.3278230371156434,0.18781155922184115,0.5016905922637505,,False,0.1
pyoperon,g0003,feynman-ii.27.18,1,ok,False,9.436,,,,,False,0.01
pyoperon,g0045,feynman-bonus.20,1,ok,False,9.49,,,,,False,0.1
pyoperon,g0032,feynman-i.13.12,4,ok,False,9.534,,,,,False,0.01
pyoperon,g0035,feynman-i.32.5,4,ok,False,9.572,,,,,False,0.05
pyoperon,g0033,feynman-iii.10.19,0,ok,False,9.733,,,,,False,0.01
pyoperon,g0032,feynman-i.13.12,4,ok,False,9.733,,,,,False,0.1
pyoperon,g0033,feynman-iii.10.19,0,ok,False,9.78,,,,,False,0.05
pyoperon,g0032,feynman-i.13.12,0,ok,False,9.994,,,,,False,0.01
pyoperon,g0001,II.34.2_1_0,1,ok,False,10.137,0.10623314492175488,0.10777773513237696,0.10812267584093671,,False,0.1
pyoperon,g0033,feynman-iii.10.19,2,ok,False,10.217,,,,,False,0.1
pyoperon,g0032,feynman-i.13.12,4,ok,False,10.259,,,,,False,0.05
pyoperon,g0001,II.34.2_1_0,4,ok,False,10.281,0.05428152097909923,0.056011931594605366,0.055101512606863426,,False,0.01
pyoperon,g0001,II.34.2_1_0,4,ok,False,10.29,0.05428152097909923,0.056011931594605366,0.055101512606863426,,False,0.05
pyoperon,g0001,II.34.2_1_0,4,ok,False,10.416,0.054282735077309095,0.05600661857927087,0.05510186392592868,,False,0.1
pyoperon,g0013,feynman-i.43.31,1,ok,False,10.479,,,,,False,0.01
pyoperon,g0030,feynman-iii.7.38,1,ok,False,10.693,,,,,False,0.1
pyoperon,g0035,feynman-i.32.5,1,ok,False,10.892,,,,,False,0.01
pyoperon,g0032,feynman-i.13.12,2,ok,False,10.99,,,,,False,0.1
pyoperon,g0045,feynman-bonus.20,2,ok,False,11.163,,,,,False,0.1
pyoperon,g0030,feynman-iii.7.38,2,ok,False,11.389,,,,,False,0.1
pyoperon,g0045,feynman-bonus.20,1,ok,False,11.397,,,,,False,0.01
pyoperon,g0001,II.34.2_1_0,1,ok,False,12.305,0.10623235880780013,0.10778213199756337,0.10812156198255875,,False,0.01
pyoperon,g0013,feynman-i.43.31,0,ok,False,13.993,,,,,False,0.1
pyoperon,g0013,feynman-i.43.31,3,ok,False,13.994,,,,,False,0.1
pyoperon,g0046,II.6.15b_3_0,2,ok,False,14.367,,,,,False,0.1
pyoperon,g0019,feynman-ii.34.2a,1,ok,False,14.629,,,,,False,0.01
pyoperon,g0011,Vladislavleva-4,0,ok,False,14.904,0.09256839279845068,0.08443467434234608,0.12399029679243109,,False,0.05
pyoperon,g0032,feynman-i.13.12,1,ok,False,15.762,,,,,False,0.01
pyoperon,g0030,feynman-iii.7.38,1,ok,False,16.593,,,,,False,0.01
pyoperon,g0003,feynman-ii.27.18,1,ok,False,20.013,,,,,False,0.1
pyoperon,g0030,feynman-iii.7.38,4,no_valid_output,False,24.789,,,,,False,0.05
udsr,g0001,II.34.2_1_0,3,error,False,43.559,,,,,False,0.05
pyoperon,g0045,feynman-bonus.20,2,ok,False,46.661,,,,,False,0.05
pyoperon,g0033,feynman-iii.10.19,1,ok,False,49.553,,,,,False,0.01
pyoperon,g0032,feynman-i.13.12,1,ok,False,63.054,,,,,False,0.05
pyoperon,g0033,feynman-iii.10.19,1,ok,False,78.032,,,,,False,0.1
qlattice,g0030,feynman-iii.7.38,3,no_valid_output,False,78.088,,,,,False,0.1
qlattice,g0030,feynman-iii.7.38,0,no_valid_output,False,78.508,,,,,False,0.1
qlattice,g0030,feynman-iii.7.38,3,no_valid_output,False,78.959,,,,,False,0.05
qlattice,g0030,feynman-iii.7.38,0,no_valid_output,False,79.459,,,,,False,0.05
qlattice,g0030,feynman-iii.7.38,3,no_valid_output,False,79.672,,,,,False,0.01
qlattice,g0030,feynman-iii.7.38,0,no_valid_output,False,79.682,,,,,False,0.01
qlattice,g0030,feynman-iii.7.38,2,no_valid_output,False,79.728,,,,,False,0.01
pyoperon,g0033,feynman-iii.10.19,2,ok,False,83.859,,,,,False,0.05
qlattice,g0030,feynman-iii.7.38,1,no_valid_output,False,86.363,,,,,False,0.05
qlattice,g0030,feynman-iii.7.38,2,no_valid_output,False,87.751,,,,,False,0.05
qlattice,g0030,feynman-iii.7.38,1,no_valid_output,False,89.042,,,,,False,0.1
qlattice,g0030,feynman-iii.7.38,4,no_valid_output,False,89.145,,,,,False,0.1
qlattice,g0030,feynman-iii.7.38,4,no_valid_output,False,90.737,,,,,False,0.01
e2esr,g0005,Keijzer-11,1,ok,False,92.954,0.2153342080365097,3.8090555434237237,,2.85715219719695,False,0.1
e2esr,g0010,Nguyen-9,4,ok,False,94.267,0.010134349871796308,0.017724458465129513,,0.004004018860627141,False,0.1
e2esr,g0020,first_principles_leavitt,0,ok,False,99.097,0.0003393455029323396,0.000491882685004728,0.00025835575415876646,,False,0.1
qlattice,g0030,feynman-iii.7.38,2,no_valid_output,False,101.535,,,,,False,0.1
qlattice,g0020,first_principles_leavitt,3,ok,False,105.246,8.502884359782851e-05,0.00046837355793494614,0.0003459991678211995,,False,0.05
qlattice,g0030,feynman-iii.7.38,1,no_valid_output,False,105.758,,,,,False,0.01
e2esr,g0006,Keijzer-2,1,ok,False,106.174,0.9452957655911722,1.179794484562313,0.9741993856694938,,False,0.1
qlattice,g0020,first_principles_leavitt,4,ok,False,117.778,9.067650342783051e-05,0.0003017630478410683,0.00022705217668601827,,False,0.1
e2esr,g0025,strogatz_barmag2,1,ok,False,125.48,0.943226167245202,1.0110953020179003,1.0170728139589589,,False,0.05
qlattice,g0028,feynman-ii.4.23,4,ok,False,127.402,,,,,False,0.1
qlattice,g0030,feynman-iii.7.38,4,no_valid_output,False,142.837,,,,,False,0.05
qlattice,g0041,PO41,1,ok,False,145.685,,,,695.0135605757511,False,0.1
qlattice,g0039,CRK0,1,ok,False,147.757,,,,0.302913454749812,False,0.1
qlattice,g0047,BPG5,4,ok,False,158.267,,,,,False,0.1
qlattice,g0028,feynman-ii.4.23,2,ok,False,158.275,,,,,False,0.1
tpsr,g0008,Nguyen-12,2,ok,False,186.708,0.005754746820443954,0.0044520154742334435,0.006930854241408482,,False,0.1
tpsr,g0005,Keijzer-11,0,ok,False,244.821,0.09121728726500924,0.14010217851288195,,0.8300230658793912,False,0.1
e2esr,g0013,feynman-i.43.31,3,ok,False,256.668,,,,,False,0.01
e2esr,g0013,feynman-i.43.31,0,ok,False,270.232,,,,,False,0.05
e2esr,g0013,feynman-i.43.31,0,ok,False,297.28,,,,,False,0.01
e2esr,g0035,feynman-i.32.5,0,ok,False,308.929,,,,,False,0.1
e2esr,g0003,feynman-ii.27.18,0,ok,False,315.386,,,,,False,0.05
e2esr,g0013,feynman-i.43.31,2,ok,False,317.328,,,,,False,0.01
e2esr,g0035,feynman-i.32.5,3,ok,False,317.716,,,,,False,0.05
e2esr,g0022,feynman-i.11.19,2,ok,False,332.612,,,,,False,0.01
e2esr,g0013,feynman-i.43.31,3,ok,False,334.556,,,,,False,0.05
e2esr,g0035,feynman-i.32.5,0,ok,False,343.451,,,,,False,0.05
e2esr,g0003,feynman-ii.27.18,4,ok,False,344.452,,,,,False,0.01
e2esr,g0013,feynman-i.43.31,1,ok,False,345.567,,,,,False,0.05
e2esr,g0045,feynman-bonus.20,1,ok,False,348.56,,,,,False,0.01
e2esr,g0003,feynman-ii.27.18,3,ok,False,350.123,,,,,False,0.1
e2esr,g0003,feynman-ii.27.18,2,ok,False,353.692,,,,,False,0.01
e2esr,g0013,feynman-i.43.31,3,ok,False,357.023,,,,,False,0.1
e2esr,g0013,feynman-i.43.31,2,ok,False,357.147,,,,,False,0.05
e2esr,g0003,feynman-ii.27.18,0,ok,False,367.953,,,,,False,0.01
e2esr,g0021,feynman-i.39.22,2,ok,False,368.196,,,,,False,0.01
e2esr,g0013,feynman-i.43.31,4,ok,False,371.392,,,,,False,0.05
e2esr,g0019,feynman-ii.34.2a,3,ok,False,372.401,,,,,False,0.1
e2esr,g0003,feynman-ii.27.18,0,ok,False,373.433,,,,,False,0.1
e2esr,g0003,feynman-ii.27.18,3,ok,False,373.757,,,,,False,0.01
e2esr,g0033,feynman-iii.10.19,0,ok,False,374.861,,,,,False,0.1
e2esr,g0003,feynman-ii.27.18,2,ok,False,378.314,,,,,False,0.1
e2esr,g0035,feynman-i.32.5,3,ok,False,379.767,,,,,False,0.01
e2esr,g0035,feynman-i.32.5,2,ok,False,379.841,,,,,False,0.05
e2esr,g0035,feynman-i.32.5,3,ok,False,382.407,,,,,False,0.1
e2esr,g0013,feynman-i.43.31,2,ok,False,382.61,,,,,False,0.1
e2esr,g0035,feynman-i.32.5,1,ok,False,384.849,,,,,False,0.05
e2esr,g0019,feynman-ii.34.2a,0,ok,False,386.144,,,,,False,0.05
e2esr,g0018,feynman-i.18.16,2,ok,False,386.435,,,,,False,0.01
e2esr,g0003,feynman-ii.27.18,2,ok,False,389.71,,,,,False,0.05
e2esr,g0022,feynman-i.11.19,3,ok,False,390.223,,,,,False,0.01
e2esr,g0013,feynman-i.43.31,4,ok,False,394.063,,,,,False,0.01
e2esr,g0035,feynman-i.32.5,1,ok,False,394.156,,,,,False,0.1
e2esr,g0018,feynman-i.18.16,0,ok,False,396.539,,,,,False,0.01
e2esr,g0022,feynman-i.11.19,4,ok,False,398.492,,,,,False,0.1
e2esr,g0014,feynman-ii.34.11,0,ok,False,399.512,,,,,False,0.1
e2esr,g0018,feynman-i.18.16,2,ok,False,402.036,,,,,False,0.05
e2esr,g0014,feynman-ii.34.11,3,ok,False,403.148,,,,,False,0.01
e2esr,g0035,feynman-i.32.5,2,ok,False,405.022,,,,,False,0.01
e2esr,g0021,feynman-i.39.22,1,ok,False,407.231,,,,,False,0.05
e2esr,g0019,feynman-ii.34.2a,0,ok,False,408.768,,,,,False,0.1
e2esr,g0018,feynman-i.18.16,1,ok,False,409.445,,,,,False,0.05
e2esr,g0035,feynman-i.32.5,4,ok,False,413.327,,,,,False,0.05
e2esr,g0044,feynman-i.15.3t,2,ok,False,414.86,,,,,False,0.05
e2esr,g0012,feynman_I_27_6,3,ok,False,415.726,0.006944600600550048,0.006896810113904393,0.007135126914506045,,False,0.1
e2esr,g0021,feynman-i.39.22,2,ok,False,417.186,,,,,False,0.05
e2esr,g0021,feynman-i.39.22,3,ok,False,418.778,,,,,False,0.05
e2esr,g0022,feynman-i.11.19,3,ok,False,419.228,,,,,False,0.1
e2esr,g0022,feynman-i.11.19,0,ok,False,422.067,,,,,False,0.1
e2esr,g0044,feynman-i.15.3t,3,ok,False,422.24,,,,,False,0.01
e2esr,g0014,feynman-ii.34.11,2,ok,False,423.749,,,,,False,0.1
e2esr,g0022,feynman-i.11.19,0,ok,False,424.391,,,,,False,0.05
e2esr,g0045,feynman-bonus.20,0,ok,False,424.824,,,,,False,0.1
e2esr,g0035,feynman-i.32.5,4,ok,False,428.035,,,,,False,0.1
e2esr,g0018,feynman-i.18.16,3,ok,False,429.292,,,,,False,0.01
e2esr,g0022,feynman-i.11.19,3,ok,False,430.437,,,,,False,0.05
e2esr,g0033,feynman-iii.10.19,3,ok,False,432.511,,,,,False,0.05
e2esr,g0021,feynman-i.39.22,0,ok,False,433.887,,,,,False,0.1
e2esr,g0035,feynman-i.32.5,2,ok,False,435.044,,,,,False,0.1
e2esr,g0019,feynman-ii.34.2a,2,ok,False,436.669,,,,,False,0.05
e2esr,g0035,feynman-i.32.5,4,ok,False,438.205,,,,,False,0.01
e2esr,g0044,feynman-i.15.3t,3,ok,False,439.44,,,,,False,0.05
e2esr,g0022,feynman-i.11.19,1,ok,False,440.518,,,,,False,0.1
e2esr,g0022,feynman-i.11.19,4,ok,False,440.585,,,,,False,0.01
e2esr,g0044,feynman-i.15.3t,4,ok,False,440.769,,,,,False,0.05
e2esr,g0033,feynman-iii.10.19,4,ok,False,442.594,,,,,False,0.01
e2esr,g0044,feynman-i.15.3t,2,ok,False,443.796,,,,,False,0.01
e2esr,g0033,feynman-iii.10.19,0,ok,False,444.04,,,,,False,0.05
e2esr,g0019,feynman-ii.34.2a,3,ok,False,445.361,,,,,False,0.01
e2esr,g0018,feynman-i.18.16,1,ok,False,448.655,,,,,False,0.1
e2esr,g0021,feynman-i.39.22,3,ok,False,449.698,,,,,False,0.01
e2esr,g0019,feynman-ii.34.2a,0,ok,False,450.445,,,,,False,0.01
e2esr,g0021,feynman-i.39.22,0,ok,False,451.783,,,,,False,0.01
e2esr,g0022,feynman-i.11.19,1,ok,False,452.728,,,,,False,0.05
e2esr,g0014,feynman-ii.34.11,0,ok,False,453.374,,,,,False,0.05
e2esr,g0022,feynman-i.11.19,4,ok,False,453.91,,,,,False,0.05
e2esr,g0018,feynman-i.18.16,4,ok,False,454.459,,,,,False,0.05
e2esr,g0019,feynman-ii.34.2a,1,ok,False,455.614,,,,,False,0.05
e2esr,g0045,feynman-bonus.20,3,ok,False,460.786,,,,,False,0.1
e2esr,g0045,feynman-bonus.20,2,ok,False,462.255,,,,,False,0.01
e2esr,g0018,feynman-i.18.16,4,ok,False,462.874,,,,,False,0.01
e2esr,g0014,feynman-ii.34.11,1,ok,False,465.676,,,,,False,0.05
e2esr,g0044,feynman-i.15.3t,1,ok,False,465.974,,,,,False,0.05
e2esr,g0021,feynman-i.39.22,4,ok,False,467.041,,,,,False,0.05
e2esr,g0035,feynman-i.32.5,0,ok,False,469.634,,,,,False,0.01
e2esr,g0033,feynman-iii.10.19,3,ok,False,471.333,,,,,False,0.1
e2esr,g0033,feynman-iii.10.19,1,ok,False,476.168,,,,,False,0.05
e2esr,g0019,feynman-ii.34.2a,4,ok,False,476.228,,,,,False,0.1
e2esr,g0021,feynman-i.39.22,1,ok,False,476.312,,,,,False,0.1
e2esr,g0044,feynman-i.15.3t,2,ok,False,476.887,,,,,False,0.1
e2esr,g0014,feynman-ii.34.11,3,ok,False,477.143,,,,,False,0.05
e2esr,g0021,feynman-i.39.22,2,ok,False,479.961,,,,,False,0.1
e2esr,g0014,feynman-ii.34.11,0,ok,False,480.052,,,,,False,0.01
tpsr,g0003,feynman-ii.27.18,0,ok,False,480.788,,,,,False,0.1
e2esr,g0013,feynman-i.43.31,1,ok,False,481.914,,,,,False,0.1
e2esr,g0019,feynman-ii.34.2a,4,ok,False,486.427,,,,,False,0.01
e2esr,g0021,feynman-i.39.22,3,ok,False,486.991,,,,,False,0.1
e2esr,g0044,feynman-i.15.3t,1,ok,False,487.76,,,,,False,0.1
e2esr,g0045,feynman-bonus.20,3,ok,False,488.253,,,,,False,0.01
e2esr,g0033,feynman-iii.10.19,3,ok,False,495.982,,,,,False,0.01
e2esr,g0033,feynman-iii.10.19,2,ok,False,500.036,,,,,False,0.01
e2esr,g0033,feynman-iii.10.19,4,ok,False,501.741,,,,,False,0.05
e2esr,g0014,feynman-ii.34.11,2,ok,False,516.323,,,,,False,0.05
e2esr,g0012,feynman_I_27_6,1,ok,False,530.66,0.009160982470859691,0.009232088216198638,0.009446124194689277,,False,0.1
e2esr,g0033,feynman-iii.10.19,2,ok,False,544.0,,,,,False,0.1
e2esr,g0033,feynman-iii.10.19,0,ok,False,544.29,,,,,False,0.01
e2esr,g0003,feynman-ii.27.18,1,ok,False,546.377,,,,,False,0.01
e2esr,g0013,feynman-i.43.31,1,ok,False,549.214,,,,,False,0.01
e2esr,g0045,feynman-bonus.20,1,ok,False,549.615,,,,,False,0.05
e2esr,g0003,feynman-ii.27.18,4,ok,False,572.547,,,,,False,0.1
e2esr,g0044,feynman-i.15.3t,3,ok,False,658.19,,,,,False,0.1
e2esr,g0014,feynman-ii.34.11,4,ok,False,664.271,,,,,False,0.01
e2esr,g0045,feynman-bonus.20,0,ok,False,673.772,,,,,False,0.01
tpsr,g0003,feynman-ii.27.18,0,ok,False,690.826,,,,,False,0.01
e2esr,g0033,feynman-iii.10.19,1,ok,False,739.78,,,,,False,0.01
e2esr,g0044,feynman-i.15.3t,4,ok,False,766.356,,,,,False,0.01
e2esr,g0045,feynman-bonus.20,2,ok,False,811.205,,,,,False,0.1
e2esr,g0022,feynman-i.11.19,1,ok,False,811.631,,,,,False,0.01
e2esr,g0019,feynman-ii.34.2a,2,ok,False,811.851,,,,,False,0.1
e2esr,g0044,feynman-i.15.3t,1,ok,False,819.949,,,,,False,0.01
tpsr,g0014,feynman-ii.34.11,0,no_valid_output,False,841.915,,,,,False,0.1
e2esr,g0019,feynman-ii.34.2a,1,ok,False,845.248,,,,,False,0.01
e2esr,g0045,feynman-bonus.20,4,ok,False,849.814,,,,,False,0.1
e2esr,g0033,feynman-iii.10.19,4,ok,False,850.703,,,,,False,0.1
dso,g0005,Keijzer-11,3,ok,False,857.684,0.030273498016067796,0.1166712115489966,,0.016831782778220093,False,0.1
e2esr,g0014,feynman-ii.34.11,4,ok,False,860.816,,,,,False,0.05
dso,g0005,Keijzer-11,0,ok,False,871.606,0.02275059320333497,0.003571230334668558,,0.07886361046892938,False,0.1
e2esr,g0014,feynman-ii.34.11,4,ok,False,916.588,,,,,False,0.1
e2esr,g0021,feynman-i.39.22,1,ok,False,975.564,,,,,False,0.01
dso,g0005,Keijzer-11,1,ok,False,985.204,0.02506230788705115,0.049945490120276215,,0.07477028706149139,False,0.05
tpsr,g0014,feynman-ii.34.11,2,error,False,1092.903,,,,,False,0.05
e2esr,g0018,feynman-i.18.16,1,ok,False,1344.587,,,,,False,0.01
tpsr,g0014,feynman-ii.34.11,4,no_valid_output,False,1449.375,,,,,False,0.01
dso,g0019,feynman-ii.34.2a,0,ok,False,1504.044,0.9502251009004236,0.9798644431939952,0.9926548817995436,,False,0.1
e2esr,g0045,feynman-bonus.20,2,ok,False,1515.129,,,,,False,0.05
dso,g0008,Nguyen-12,4,ok,False,1609.841,0.014895292494880414,0.013147496816002078,0.005041701932502256,,False,0.1
dso,g0019,feynman-ii.34.2a,2,ok,False,1620.983,0.9431306639599458,0.9671294192023078,0.9195637070606357,,False,0.05
dso,g0024,strogatz_predprey2,4,ok,False,1627.077,0.13181753372010707,0.10089764974922141,0.07023509182586375,,False,0.05
