dataset_id,global_index,dataset_name,family,subgroup,srsd_variant,basename,selection_mode,candidate_advantage_side,algorithm,taxonomy,prompt_semantics_mode,llm_model_assignment,semantic_background_preview,train_nmse,valid_nmse_raw_observed_not_used_for_probe4,id_nmse,ood_nmse,finite_train,finite_id,finite_ood,finite_id_ood,finite_train_id_ood,log_train_nmse_clipped,log_id_nmse_clipped,log_ood_nmse_clipped,combined_log_id_ood_nmse,gap_log_ood_minus_id,delta_id_minus_train,delta_ood_minus_id,id_ood_explosion_gt_100,train_id_ood_explosion_gt_100,raw_result_status,outer_status,budget_exhausted,probe4_success,normalized_status_for_probe4,wall_time_seconds,expression_artifact_available,equation_present,artifact_valid,sympy_parse_ok,canonical_artifact_error,raw_equation_char_count,normalized_expression_char_count,raw_equation_token_count,normalized_expression_token_count,ast_node_count,tree_depth,expression_complexity_bucket,expected_n_features,used_variable_count,variable_coverage_ratio,uses_all_features,uses_no_features_constant,operator_count,operator_set,operator_category_count,parameter_count,expression_health_label,raw_equation_preview,normalized_expression_preview,source_result_path,uses_linear_ops,uses_product_power_ops,uses_trig_ops,uses_exp_log_ops,uses_root_abs_inv_ops,uses_constant_symbols,uses_complex_symbols
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,ragsr,rag_hybrid,none_or_original_e1,,,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,metric_ok_no_expression_artifact,,,,0,0,0,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,udsr,rl_hybrid,none_or_original_e1,,,0.8865050440903554,0.8497820986932954,0.9671201003829201,0.9407449424447422,1,1,1,1,1,-0.052318788980857664,-0.014519590348433205,-0.02652810781994459,-0.020523849084188896,-0.012008517471511385,0.037799198632424459,-0.012008517471511385,0,0,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,metric_ok_no_expression_artifact,,,,0,0,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,drsr,llm_assisted_rl,physics_semantic_hidden_mapping,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Calculate the Effective mass given Planck constant, Amplitude There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; 1 variable with se",0.9991740324801992,0.9993589241808709,0.9993361360503533,7.29536263211029,1,1,1,1,1,-0.00035886136040507051,-0.00028840819256264149,0.86304688433231114,0.43137923806987427,0.86333529252487373,7.0453167842429026e-05,0.86333529252487373,0,0,ok,ok,1,1,success_budget_exhausted,3901.125,1,1,1,1,,13,13,9,9,9,3,simple,3,2,0.66666666666666663,0,0,2,mul;pow,1,0,metric_ok_artifact_ok,c0*x0/(c1*x1),c0*x0/(c1*x1),/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0002_feynman-iii.15.14/result.json,0,1,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,dso,rl_policy,none_or_original_e1,,,0.9795977390912016,0.9811577970564944,0.9830248226848032,21.027300177792693,1,1,1,1,1,-0.0089522258965970131,-0.0074355155158544635,1.3227835145713966,0.65767399952777106,1.3302190300872512,0.0015167103807425496,1.3302190300872512,0,0,timed_out,timed_out,1,1,success_budget_exhausted,3615.392,1,1,1,1,,45,45,27,27,15,7,simple,3,3,1,1,0,5,add;cos;log;mul;pow,4,0,metric_ok_artifact_ok,(cos(x1) + cos(x1*(x1 + x3 + log(x3))))/x2**2,(cos(x0) + cos(x0*(x0 + x2 + log(x2))))/x1**2,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w4_20260424-041046/anon-node-01/dso/feynman-iii.15.14/result.json,1,1,1,1,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,gplearn,classic_gp,none_or_original_e1,,,1.0,5.075572056502223e+67,5.848776691467217e+67,5.606984304348295e+71,1,1,1,1,1,0,12,12,12,0,12,0,1,1,timed_out,timed_out,1,1,success_budget_exhausted,3608.935,1,1,1,1,,29,20,15,10,8,4,simple,3,2,0.66666666666666663,0,0,4,add;log;mul;pow,3,0,finite_but_exploded,"div(log(X2), add(-0.124, X1))",log(x1)/(x0 - 0.124),/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-iii.15.14/result.json,1,1,0,1,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,llmsr,llm_symbolic,physics_semantic_hidden_mapping,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Calculate the Effective mass given Planck constant, Amplitude There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; 1 variable with se",0.9251967528222159,0.912885199839055,0.9430906061984956,1.0267082230306914,1,1,1,1,1,-0.033765900149005892,-0.025446580982996809,0.011447040353186631,-0.0069997703149050888,0.036893621336183444,0.0083193191660090836,0.036893621336183444,0,0,ok,ok,0,1,success_completed,3610.685,1,1,1,1,,37,37,21,21,17,4,simple,3,2,0.66666666666666663,0,0,2,mul;pow,1,0,metric_ok_artifact_ok,6.62607015e-34/(c0**c1*x0**c2*x1**c3),6.62607015e-34/(c0**c1*x0**c2*x1**c3),/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/llmsr/anon-node-03/llmsr/g0002_feynman-iii.15.14/result.json,0,1,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,pyoperon,evolutionary_gp,none_or_original_e1,,,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,ok,ok,0,1,success_completed,9.466,1,1,1,1,,40,1,19,1,1,1,constant_or_trivial,3,0,0,0,1,0,,0,0,metric_ok_artifact_ok,(0.000 + ((-0.000) * sin((0.357 * X3)))),0,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/anon-node-01/pyoperon/feynman-iii.15.14/result.json,0,0,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,pysr,evolutionary_gp,none_or_original_e1,,,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,timed_out,timed_out,1,1,success_budget_exhausted,3603.871,1,1,1,1,,7,1,3,1,1,1,constant_or_trivial,3,0,0,0,1,0,,0,0,metric_ok_artifact_ok,x2 - x2,0,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/anon-node-01/pysr/feynman-iii.15.14/result.json,0,0,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,tpsr,pretrained_neural,none_or_original_e1,,,1.5265911964769455e+45,1.3385468153854043e+45,1.5450508511069094e+45,1.3160233182997642e+49,1,1,1,1,1,12,12,12,12,0,0,0,1,1,timed_out,timed_out,1,1,success_budget_exhausted,3619.491,1,1,1,1,,175,139,64,46,28,10,medium,3,2,0.66666666666666663,0,0,4,add;exp;mul;sin,4,0,finite_but_exploded,((-2.3184773545459336e-11 + exp((((9.0 + x_1) * (0.009 + (0.001 * x_0))) * (0.1 + (40.0 * sin((-0.060000000000000005 + (90.0 * x_0)))))))) * (69.99988428571426 + (0.3 * x_0))),(0.3*x0 + 69.99988428571426)*(exp((0.001*x0 + 0.009)*(x1 + 9.0)*(40.0*sin(90.0*x0 - 0.060000000000000005) + 0.1)) - 2.3184773545459336e-11),/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w5_20260424-041046/anon-node-01/tpsr/feynman-iii.15.14/result.json,1,1,1,1,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,e2esr,pretrained_neural,none_or_original_e1,,,,,,,0,0,0,0,0,,,,,,,,0,0,,,0,0,metric_missing_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,metric_missing,,,,0,0,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,imcts,mcts,none_or_original_e1,,,7.060647174882411e+65,6.764962839708433e+65,6.605198644474596e+65,1.8419066381914962e+65,1,1,1,1,1,12,12,12,12,0,0,0,1,1,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,finite_but_exploded,,,,0,0,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,qlattice,graph_hybrid,none_or_original_e1,,,0.9241286821072171,0.9284515583036339,0.9235943781880044,150.92282149349265,1,1,1,1,1,-0.034267550383864441,-0.034518719247020872,2.178754915715285,1.0721180982341321,2.2132736349623059,-0.00025116886315643128,2.2132736349623059,1,1,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,finite_but_exploded,,,,0,0,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,ragsr,rag_hybrid,none_or_original_e1,,,0.9999910898926804,0.999991800130072,0.9999909950158458,0.9998104240755399,1,1,1,1,1,-3.8696276815040279e-06,-3.9108325363303862e-06,-8.2339582942638279e-05,-4.3125207739484331e-05,-7.8428750406307895e-05,-4.1204854826358306e-08,-7.8428750406307895e-05,0,0,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,metric_ok_no_expression_artifact,,,,0,0,0,0,0,0,0
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.14,strict,pysr,udsr,rl_hybrid,none_or_original_e1,,,0.7828300234691751,0.7748126940218816,0.767562694008105,191.22098168132501,1,1,1,1,1,-0.1063325264262137,-0.11488614151882869,2.2815355434237818,1.0833247009524767,2.3964216849426103,-0.0085536150926149856,2.3964216849426103,1,1,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,finite_but_exploded,,,,0,0,0,0,0,0,0
g0003,3,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,feynman-ii.11.20,strict,llmsr,drsr,llm_assisted_rl,physics_semantic_hidden_mapping,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Polarizability given Number of atom, Electric dipole moment, Magnitude of electric field, Boltzmann constant",0.9974659885819551,0.9971514499675067,1.0099502964620797,0.9999894677783134,1,1,1,1,1,-0.0011019038848279041,0.0043000010069935597,-4.574109848468926e-06,0.0021477134485725453,-0.0043045751168420288,0.0054019048918214638,-0.0043045751168420288,0,0,ok,ok,1,1,success_budget_exhausted,3906.214,1,1,1,1,,38,38,22,22,18,4,simple,4,4,1,1,0,3,add;mul;pow,2,0,metric_ok_artifact_ok,c0 + c1*x0*x1 + c2*x1**2/x2 + c3*x1*x3,c0 + c1*x0*x1 + c2*x1**2/x2 + c3*x1*x3,/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0003_feynman-ii.11.20/result.json,1,1,0,0,0,0,0
g0003,3,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,feynman-ii.11.20,strict,llmsr,dso,rl_policy,none_or_original_e1,,,0.8790999594047606,1.201382887132903,1.0693576065712986,1.0000532339501067,1,1,1,1,1,-0.055961740000511663,0.029122963009978256,2.3118595439634771e-05,0.014573040802708945,-0.029099844414538622,0.085084703010489926,-0.029099844414538622,0,0,timed_out,timed_out,1,1,success_budget_exhausted,3602.148,1,1,1,1,,46,46,28,28,14,6,simple,4,4,1,1,0,6,add;cos;exp;log;mul;sin,4,0,metric_ok_artifact_ok,x3*(x1*x2*exp(sin(x3)) + sin(log(x1)))*cos(x4),x2*(x0*x1*exp(sin(x2)) + sin(log(x0)))*cos(x3),/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-07/dso/dso/g0003_feynman-ii.11.20/result.json,1,1,1,1,0,0,0
g0003,3,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,feynman-ii.11.20,strict,llmsr,gplearn,classic_gp,none_or_original_e1,,,0.7662151826949192,0.6402894190784532,0.5302932711860563,0.9968116377250178,1,1,1,1,1,-0.11564924664255855,-0.27548388354578895,-0.0013869002893866838,-0.13843539191758783,0.27409698325640225,-0.15983463690323041,0.27409698325640225,0,0,timed_out,timed_out,1,1,success_budget_exhausted,3603.316,1,1,1,1,,32738,18564,17557,9008,6405,88,very_complex,4,4,1,1,0,7,add;cos;imaginaryunit;mul;pi;pow;sin,4,0,metric_ok_artifact_ok,"mul(add(sub(add(sqrt(mul(add(sub(add(X2, mul(X2, sqrt(mul(X1, X0)))), sqrt(mul(sqrt(mul(sqrt(sub(X2, sub(X2, mul(X1, X1)))), X1)), sqrt(mul(X1, X0))))), add(X2, mul(X2, sqrt(mul...",sqrt(x0*x1)*(x2*sqrt(x0*x1) - x2/(((-x2 - sqrt(sqrt(x0*x1)*(x0*x1 - sqrt((-x0*x1 + x2*(x2*sqrt(x0*x1) + x2) + x2 + sqrt(x1*sqrt(x0*x1)) + cos(x0))*sqrt(cos(x0))) + cos(x0))) + c...,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0003_feynman-ii.11.20/result.json,1,1,1,0,0,1,1
g0003,3,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,feynman-ii.11.20,strict,llmsr,llmsr,llm_symbolic,physics_semantic_hidden_mapping,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Polarizability given Number of atom, Electric dipole moment, Magnitude of electric field, Boltzmann constant",0.9999974625542081,1.000017642540483,0.9999923123991524,1.0000000004018648,1,1,1,1,1,-1.1020001036963333e-06,-3.3386954604709071e-06,1.7452764930611853e-10,-1.6692604664108004e-06,3.3388699881202133e-06,-2.2366953567745737e-06,3.3388699881202133e-06,0,0,ok,ok,0,1,success_completed,3624.796,1,1,1,1,,32,32,21,21,17,6,simple,4,4,1,1,0,3,add;mul;pow,2,0,metric_ok_artifact_ok,c0*x0*x1**2/(c1 + x2**2) + c2*x3,c0*x0*x1**2/(c1 + x2**2) + c2*x3,/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/llmsr/anon-node-04/llmsr/g0003_feynman-ii.11.20/result.json,1,1,0,0,0,0,0
g0003,3,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,feynman-ii.11.20,strict,llmsr,pyoperon,evolutionary_gp,none_or_original_e1,,,1.559539966834198,1.0617678620156157,1.1133522098536983,0.999998882708623,1,1,1,1,1,0.19299650904067006,0.046632575474358375,-4.8523375077126559e-07,0.023316045120303802,-0.046633060708109145,-0.14636393356631169,-0.046633060708109145,0,0,ok,ok,0,1,success_completed,9.672,1,1,1,1,,108,72,47,14,12,6,simple,4,2,0.5,0,0,3,add;mul;tanh,2,0,metric_ok_artifact_ok,(11505830.000 + ((-12042872.000) * tanh((exp(exp((-0.794))) * ((2.377 * (2.007 * X4)) + ((-0.244) * X3)))))),12042872.0*tanh(0.383446945106568*x1 - 7.49707766703383*x2) + 11505830.0,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/anon-node-01/pyoperon/feynman-ii.11.20/result.json,1,1,0,0,0,0,0
g0003,3,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,feynman-ii.11.20,strict,llmsr,pysr,evolutionary_gp,none_or_original_e1,,,0.0477364399453307,0.1542651499463047,0.2221723488153517,37.698813821911166,1,1,1,1,1,-1.3211499726302518,-0.65330999356875319,1.5763276855187118,0.46150884597497932,2.2296376790874648,0.66783997906149861,2.2296376790874648,0,0,timed_out,timed_out,1,1,success_budget_exhausted,3601.889,1,1,1,1,,101,69,44,32,24,8,medium,4,4,1,1,0,4,add;mul;pow;sin,3,0,metric_ok_artifact_ok,(((x0 * x2) * (((x1 * x1) / (2020.1991 + (sin(248.01166 * x3) * x2))) * 7.0423937)) * (x0 / x3)) + x2,7.0423937*x0**2*x1**2*x2/(x3*(x2*sin(248.01166*x3) + 2020.1991)) + x2,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0003_feynman-ii.11.20/result.json,1,1,1,0,0,0,0
