dataset_id,dataset_name,family,subgroup,srsd_variant,algorithm_count,finite_id_ood_count,explosion_gt_100_count,expression_artifact_available_count,median_combined_log_id_ood_nmse,spread_combined_log_id_ood_nmse,high_information_hint
g0039,feynman-ii.11.3,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,5,6,1.08204989192354,12,1
g0040,feynman-bonus.16,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,10,1,7,1.0193291703962424,0,0
g0041,feynman-bonus.11,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,2,7,5.3511915317154006,1.4566860206457752,0
g0042,feynman-bonus.5,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,11,1,7,6.0273180892740204,11.945363821451959,1
g0043,feynman-i.18.4,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,1,7,2.9802283874095608,0,0
g0044,feynman-bonus.5,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,1,7,6.0286477643459691,11.942704471308062,1
g0045,feynman-i.11.19,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,2,7,6.2216055059964557,11.999556002891477,1
g0046,feynman-ii.15.4,srsd,srsd/srsd-feynman_easy,easy non-dummy,12,11,3,7,1.2918332238612047,12,1
g0047,feynman-i.15.3x,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,10,1,7,11.835490122939369,0,0
g0048,feynman-bonus.17,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,12,1,7,0.41436650071438119,11.312095295560233,1
g0049,feynman-iii.15.27,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,1,7,0.022030364003809533,11.99999999999557,1
g0050,feynman-i.24.6,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,1,7,6.572388800667742,0,0
g0051,feynman-bonus.10,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,2,7,6.1062512826961308,11.999995772478721,1
g0052,feynman-i.18.12,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,12,1,7,0.72283833249129292,4.1012874393068186,0
g0053,feynman-ii.8.7,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,2,7,6.9489275421694732,10.102144915661054,1
g0054,feynman_II_2_42,srbench1.0,srbench1.0/feynman,,12,12,1,7,5.0006331601038916,0,0
g0055,feynman_II_34_11,srbench1.0,srbench1.0/feynman,,12,12,1,7,4.0845646381678478,0,0
g0056,feynman_II_15_5,srbench1.0,srbench1.0/feynman,,12,12,1,7,1.7603963668277007,3.2705641263190985,0
g0057,feynman_III_17_37,srbench1.0,srbench1.0/feynman,,12,12,1,7,1.5578343286561005,3.0596390157175342,0
g0058,feynman_II_36_38,srbench1.0,srbench1.0/feynman,,12,12,0,7,1.0427902905758031,0,0
g0059,feynman_II_38_3,srbench1.0,srbench1.0/feynman,,12,12,1,7,3.970861453295127,0,0
g0060,feynman-i.27.6,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,2,7,2.4495772918060461,11.585845399775097,1
g0061,feynman-ii.38.3,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,3,7,8.2238584250405857,11.884710065287328,1
g0062,Keijzer-7,keijzer,keijzer,,12,12,0,7,1.107867088894587,0,0
g0063,feynman-bonus.11,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,11,1,7,6.0724410263518633,0,0
g0064,feynman-i.39.10,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,1,7,8.4499935112845836,0,0
g0065,feynman-i.50.26,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,12,1,7,3.2108435951011876,0,0
g0066,Nguyen-5,nguyen,nguyen,,12,12,0,7,,,0
g0067,Nguyen-6,nguyen,nguyen,,12,11,0,7,,,0
g0068,Nguyen-9,nguyen,nguyen,,12,12,0,7,,,0
g0069,feynman-ii.8.31,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,4,7,11.980842685461027,12,1
g0070,III.21.20_3_0,llm-srbench,llm-srbench/lsrtransform,,12,11,0,7,,,0
g0071,feynman-ii.36.38,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,12,2,7,0.6343010274619908,12,1
g0072,feynman-i.43.31,srsd,srsd/srsd-feynman_medium,medium non-dummy,12,11,2,7,4.5497654528765015,12,1
g0073,feynman-i.43.31,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,2,7,6.000072619796291,12,1
g0074,feynman-iii.4.32,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,2,7,0.51932780712956372,11.809905769298549,1
g0075,feynman-bonus.3,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,2,7,10.77883599695849,2.4423280060830201,0
g0076,feynman-bonus.17,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,12,3,7,12,11.997063189258389,1
g0077,I.40.1_4_0,llm-srbench,llm-srbench/lsrtransform,,12,12,0,7,1.2192356040732109,0,0
g0078,III.21.20_2_0,llm-srbench,llm-srbench/lsrtransform,,12,11,1,7,10.224936300673026,0,0
g0079,I.11.19_5_0,llm-srbench,llm-srbench/lsrtransform,,12,12,1,7,2.7412873827193138,0,0
g0080,II.37.1_2_0,llm-srbench,llm-srbench/lsrtransform,,12,10,0,7,,,0
g0081,II.36.38_4_0,llm-srbench,llm-srbench/lsrtransform,,12,12,2,7,3.2404581879642991,2.396212729699907,0
g0082,II.34.2_1_0,llm-srbench,llm-srbench/lsrtransform,,12,12,1,7,2.8447966004268554,0,0
g0083,feynman-i.12.11,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,12,3,7,12,7.7922569919313061,1
g0084,feynman-ii.21.32,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,2,7,1.1301205425998315,11.536238770788682,1
g0085,feynman-i.12.1,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,0,7,,,0
g0086,feynman-i.10.7,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,1,7,6.2758436192743998,11.4483127614512,1
g0087,feynman-bonus.7,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,4,7,12,11.457392484552852,1
g0088,strogatz_lv1,srbench1.0,srbench1.0/strogatz,,12,12,2,7,3.2174993790007123,2.261014629303614,0
g0089,strogatz_lv2,srbench1.0,srbench1.0/strogatz,,12,12,2,7,2.0168791128978238,2.0023022190851441,0
g0090,Korns-1,korns,korns,,12,12,1,7,0.31351251218960152,3.5335507233103671,0
g0091,strogatz_shearflow2,srbench1.0,srbench1.0/strogatz,,12,12,0,7,0.44962335021864736,1.2780736775847863,0
g0092,strogatz_glider2,srbench1.0,srbench1.0/strogatz,,12,12,0,7,0.80320968028584383,0,0
g0093,Nguyen-11,nguyen,nguyen,,12,12,0,7,,,0
g0094,first_principles_planck,srbench2025,srbench2025/firstprinciples,,12,11,1,7,0.25521969933248845,11.789962981274694,1
g0095,strogatz_bacres2,srbench1.0,srbench1.0/strogatz,,12,11,1,7,2.1231050289178315,0,0
g0096,strogatz_predprey2,srbench1.0,srbench1.0/strogatz,,12,12,1,7,4.1717271831240597,0,0
g0097,Keijzer-1,keijzer,keijzer,,12,12,1,7,0.60339406982735444,0.8129598117904534,0
g0098,strogatz_barmag1,srbench1.0,srbench1.0/strogatz,,12,12,1,7,3.9172133495640922,0,0
g0099,Keijzer-2,keijzer,keijzer,,12,12,0,7,0.11079926000136589,0.32523189530804858,0
g0100,PO18,llm-srbench,llm-srbench/phys_osc,,12,12,0,7,0.34806941428164412,0,0
g0101,PO21,llm-srbench,llm-srbench/phys_osc,,12,12,1,7,2.4231052474241834,4.404922924616689,0
g0102,CRK23,llm-srbench,llm-srbench/chem_react,,12,12,3,7,1.1025054968796364,3.842659557080975,0
g0103,BPG9,llm-srbench,llm-srbench/bio_pop_growth,,12,12,4,7,4.2494412561141397,9.7937446970362139,1
g0104,PO27,llm-srbench,llm-srbench/phys_osc,,12,11,0,7,0.68089272586620575,0,0
g0105,BPG7,llm-srbench,llm-srbench/bio_pop_growth,,12,12,4,7,1.5247303538656576,11.499046741192753,1
g0106,Korns-4,korns,korns,,12,12,0,7,,,0
g0107,BPG16,llm-srbench,llm-srbench/bio_pop_growth,,12,12,3,7,1.073036831194087,6.7540593951384542,1
g0108,BPG8,llm-srbench,llm-srbench/bio_pop_growth,,12,12,2,7,6.163633704744452,10.062450312625344,1
g0109,BPG0,llm-srbench,llm-srbench/bio_pop_growth,,12,12,4,7,1.2392392233918752,11.036878813000927,1
g0110,CRK5,llm-srbench,llm-srbench/chem_react,,12,12,1,7,0.97076971469921047,1.8587175489986068,0
g0111,CRK16,llm-srbench,llm-srbench/chem_react,,12,12,9,7,3.7052755264362718,9.1209601352503764,1
g0112,CRK15,llm-srbench,llm-srbench/chem_react,,12,12,2,7,1.2622770993994497,1.8537017619237783,0
g0113,Nguyen-7,nguyen,nguyen,,12,12,0,7,,,0
g0114,Korns-8,korns,korns,,12,12,1,7,1.6856732018941702,1.3207050846954278,0
g0115,MatSci23,llm-srbench,llm-srbench/matsci,,12,12,1,7,10.85135718589564,0,0
g0116,Korns-2,korns,korns,,12,12,1,7,0.28073890129432605,10.105062541230069,1
g0117,PO37,llm-srbench,llm-srbench/phys_osc,,12,12,1,7,3.5405454837148813,0,0
g0118,BPG14,llm-srbench,llm-srbench/bio_pop_growth,,12,12,4,7,1.5370961989434075,3.9885808830767924,0
g0119,first_principles_kepler,srbench2025,srbench2025/firstprinciples,,12,11,3,7,1.9900633386691882,4.2156806227007513,0
g0120,feynman_test_8,srbench1.0,srbench1.0/feynman,,12,12,0,7,0.48245527454141229,0,0
g0121,CRK6,llm-srbench,llm-srbench/chem_react,,12,12,1,7,1.8100457087393953,3.2669509574692084,0
g0122,feynman_I_27_6,srbench1.0,srbench1.0/feynman,,12,12,0,7,1.2264787673909923,0,0
g0123,feynman_I_6_2,srbench1.0,srbench1.0/feynman,,12,11,0,7,,,0
g0124,I.13.12_3_0,llm-srbench,llm-srbench/lsrtransform,,12,12,2,7,0.65883822898618494,4.511658379876625,0
g0125,II.36.38_5_0,llm-srbench,llm-srbench/lsrtransform,,12,11,0,7,0.0021648499824222837,0.29528852522894838,0
g0126,feynman_I_6_2b,srbench1.0,srbench1.0/feynman,,12,12,0,7,0.34762122105636784,0,0
g0127,feynman_test_7,srbench1.0,srbench1.0/feynman,,12,11,0,7,,,0
g0128,feynman_test_4,srbench1.0,srbench1.0/feynman,,12,12,0,7,0.20692774044531656,0,0
g0129,Korns-5,korns,korns,,12,10,0,7,,,0
g0130,Keijzer-10,keijzer,keijzer,,12,8,0,7,,,0
g0131,II.6.15b_3_0,llm-srbench,llm-srbench/lsrtransform,,12,11,0,7,0.20580887143075194,0,0
g0132,CRK19,llm-srbench,llm-srbench/chem_react,,12,12,1,7,3.4923519727753014,0,0
g0133,feynman_III_10_19,srbench1.0,srbench1.0/feynman,,12,12,0,7,1.7303258667683978,0,0
g0134,Korns-11,korns,korns,,12,12,0,7,0.7751260033122328,0.67057565591066459,0
g0135,Korns-12,korns,korns,,12,12,2,7,2.9488580541650657,5.4227066241221245,0
g0136,I.24.6_3_1,llm-srbench,llm-srbench/lsrtransform,,12,11,0,7,0.023458647455863638,0,0
g0137,feynman_I_24_6,srbench1.0,srbench1.0/feynman,,12,12,1,7,3.4953724039418175,0,0
g0138,I.50.26_0_0,llm-srbench,llm-srbench/lsrtransform,,12,11,2,7,0.38316322323295332,5.9924156598501019,0
g0139,II.36.38_0_0,llm-srbench,llm-srbench/lsrtransform,,12,12,0,7,0.0085278549094748059,0.71083556045188212,0
g0140,Korns-9,korns,korns,,12,11,1,7,9.7323935990933458e-05,3.8691825114591487,0
g0141,Keijzer-15,keijzer,keijzer,,12,11,1,7,2.1124788110019712,1.2700311396924151,0
g0142,BPG10,llm-srbench,llm-srbench/bio_pop_growth,,12,12,1,7,5.5220793404719624,0,0
g0143,MatSci8,llm-srbench,llm-srbench/matsci,,12,11,1,7,11.036638770799927,0,0
g0144,Nguyen-8,nguyen,nguyen,,12,12,0,7,0.079448278723934604,0,0
g0145,first_principles_rydberg,srbench2025,srbench2025/firstprinciples,,12,12,0,7,,,0
g0146,CRK17,llm-srbench,llm-srbench/chem_react,,12,12,1,7,5.718349667163718,0,0
g0147,MatSci25,llm-srbench,llm-srbench/matsci,,12,12,2,7,7.4162247438987787,7.1620816429884533,1
g0148,MatSci11,llm-srbench,llm-srbench/matsci,,12,12,1,7,8.4350576742654351,0,0
g0149,PO32,llm-srbench,llm-srbench/phys_osc,,12,12,1,7,3.6130885463209621,0,0
g0150,CRK28,llm-srbench,llm-srbench/chem_react,,12,12,2,7,3.7750047149196702,1.6601620176630671,0
g0151,MatSci3,llm-srbench,llm-srbench/matsci,,12,12,1,7,12,0,0
g0152,first_principles_tully_fisher,srbench2025,srbench2025/firstprinciples,,12,12,1,7,6.3192190260045606,0,0
g0153,MatSci21,llm-srbench,llm-srbench/matsci,,12,12,2,7,7.4774634304220129,9.0450731391559742,1
g0154,first_principles_leavitt,srbench2025,srbench2025/firstprinciples,,12,12,0,7,,,0
g0155,PO8,llm-srbench,llm-srbench/phys_osc,,12,12,0,7,0.52389830062462317,0,0
g0156,Keijzer-12,keijzer,keijzer,,12,12,0,7,0.43796162909312752,0,0
g0157,PO26,llm-srbench,llm-srbench/phys_osc,,12,12,1,7,1.7060368098743495,2.077242740070111,0
g0158,PO0,llm-srbench,llm-srbench/phys_osc,,12,12,0,7,1.6348453500261471,0,0
g0159,CRK30,llm-srbench,llm-srbench/chem_react,,12,12,1,7,4.9570651775479604,0,0
g0160,PO16,llm-srbench,llm-srbench/phys_osc,,12,12,1,7,2.3532618411639876,0,0
g0161,CRK13,llm-srbench,llm-srbench/chem_react,,12,12,3,7,4.3549860963185774,8.2289992133704573,1
g0162,CRK11,llm-srbench,llm-srbench/chem_react,,12,12,3,7,2.5312802101649412,10.668501730963783,1
g0163,CRK8,llm-srbench,llm-srbench/chem_react,,12,11,4,7,4.5825009707432969,9.6345575644900894,1
g0164,CRK18,llm-srbench,llm-srbench/chem_react,,12,11,7,7,1.0418408060566529,10.250905167787367,1
g0165,CRK10,llm-srbench,llm-srbench/chem_react,,12,12,5,7,3.9174352547394102,9.5524833391975736,1
g0166,CRK24,llm-srbench,llm-srbench/chem_react,,12,12,4,7,3.6005857576833549,10.30764297501605,1
g0167,BPG3,llm-srbench,llm-srbench/bio_pop_growth,,12,12,5,7,4.2492733261651505,7.2970424218212973,1
g0168,CRK34,llm-srbench,llm-srbench/chem_react,,12,12,6,7,4.9314764090263381,8.3057151068772992,1
g0169,CRK9,llm-srbench,llm-srbench/chem_react,,12,12,4,7,2.8728417907795731,7.727343350176838,1
g0170,BPG17,llm-srbench,llm-srbench/bio_pop_growth,,12,12,7,7,1.3739169643556459,7.2121859714768348,1
g0171,CRK2,llm-srbench,llm-srbench/chem_react,,12,12,2,7,1.2109781273539015,9.1938232911604132,1
g0172,CRK0,llm-srbench,llm-srbench/chem_react,,12,12,3,7,2.3251667918855894,8.7598758516492641,1
g0173,feynman-ii.35.18,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,10,1,7,6.0000001324791468,11.999999735041706,1
g0174,feynman-ii.35.18,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,9,1,7,6.00000017570878,11.99999964858244,1
g0175,feynman-bonus.2,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,9,2,7,11.733052362309596,0.53389527538080728,0
g0176,feynman_II_8_7,srbench1.0,srbench1.0/feynman,,12,11,0,7,,,0
g0177,feynman_I_14_3,srbench1.0,srbench1.0/feynman,,12,12,1,7,3.7639779574917833,0,0
g0178,feynman_I_43_16,srbench1.0,srbench1.0/feynman,,12,11,0,7,,,0
g0179,feynman_III_15_14,srbench1.0,srbench1.0/feynman,,12,11,0,7,,,0
g0180,feynman_II_15_4,srbench1.0,srbench1.0/feynman,,12,12,1,7,2.0212753454826911,3.4720440599179665,0
g0181,feynman_II_3_24,srbench1.0,srbench1.0/feynman,,12,12,1,7,2.7642064547996821,0,0
g0182,I.11.19_3_0,llm-srbench,llm-srbench/lsrtransform,,12,11,0,7,,,0
g0183,feynman_II_21_32,srbench1.0,srbench1.0/feynman,,12,11,0,7,,,0
g0184,III.15.14_1_0,llm-srbench,llm-srbench/lsrtransform,,12,10,0,7,0.49288830416024776,0.78342541575049895,0
g0185,I.11.19_2_0,llm-srbench,llm-srbench/lsrtransform,,12,12,1,7,2.7397311137225007,0,0
g0186,I.11.19_4_0,llm-srbench,llm-srbench/lsrtransform,,12,11,0,7,1.4445645498243966,0,0
g0187,I.11.19_1_0,llm-srbench,llm-srbench/lsrtransform,,12,12,1,7,2.3135097517027519,1.3169639997501461,0
g0188,feynman_III_15_27,srbench1.0,srbench1.0/feynman,,12,11,0,7,,,0
g0189,feynman_I_12_2,srbench1.0,srbench1.0/feynman,,12,11,0,7,0.25202391303323279,0,0
g0190,feynman_II_11_20,srbench1.0,srbench1.0/feynman,,12,11,0,7,0.38825815038307554,0,0
g0191,II.34.29b_2_0,llm-srbench,llm-srbench/lsrtransform,,12,11,1,7,5.6798942329320328,0,0
g0192,strogatz_shearflow1,srbench1.0,srbench1.0/strogatz,,12,12,2,7,0.70375996993911127,3.2088130470062755,0
g0193,II.21.32_3_0,llm-srbench,llm-srbench/lsrtransform,,12,11,1,7,0.71659318807771322,1.1753018067292489,0
g0194,II.21.32_2_0,llm-srbench,llm-srbench/lsrtransform,,12,10,2,7,3.8893048527226188,4.918062342175574,0
g0195,III.15.27_2_0,llm-srbench,llm-srbench/lsrtransform,,12,11,1,7,1.2282431717779041,0,0
g0196,II.34.29b_4_0,llm-srbench,llm-srbench/lsrtransform,,12,12,1,7,6.4057952955602282,0,0
g0197,III.15.27_1_0,llm-srbench,llm-srbench/lsrtransform,,12,11,2,7,2.4494204855630408,3.4607499616028727,0
g0198,feynman_II_34_29b,srbench1.0,srbench1.0/feynman,,12,11,0,7,0.92487628042289349,0,0
g0199,III.13.18_0_0,llm-srbench,llm-srbench/lsrtransform,,12,11,1,7,7.5846381913385166,0,0
g0200,Korns-3,korns,korns,,12,12,3,7,0.58969505453346838,2.8006834977024795,0
