wave,tool,host,task_count,workers,conda_env,slice_rel,params_rel,remote_job_rel,session
W2,pyoperon,anon-node-03,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/anon-node-03.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_anon-node-03.sh,e1_w2_pyoperon_24
W2,pyoperon,anon-node-04,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/anon-node-04.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_anon-node-04.sh,e1_w2_pyoperon_25
W2,drsr,anon-node-05,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/anon-node-05.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_anon-node-05.sh,e1_w2_drsr_26
W2,drsr,anon-node-06,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/anon-node-06.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_anon-node-06.sh,e1_w2_drsr_27
W2,drsr,anon-node-07,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/anon-node-07.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_anon-node-07.sh,e1_w2_drsr_28
W2,drsr,anon-node-08,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/anon-node-08.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_anon-node-08.sh,e1_w2_drsr_29
W3,pysr,anon-node-01,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/anon-node-01.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_anon-node-01.sh,e1_w3_pysr_22
W3,pysr,anon-node-02,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/anon-node-02.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_anon-node-02.sh,e1_w3_pysr_23
W3,pysr,anon-node-03,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/anon-node-03.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_anon-node-03.sh,e1_w3_pysr_24
W3,pysr,anon-node-04,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/anon-node-04.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_anon-node-04.sh,e1_w3_pysr_25
W4,dso,anon-node-01,29,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/anon-node-01.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_anon-node-01.sh,e1_w4_dso_22
W4,dso,anon-node-02,29,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/anon-node-02.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_anon-node-02.sh,e1_w4_dso_23
W4,dso,anon-node-03,29,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/anon-node-03.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_anon-node-03.sh,e1_w4_dso_24
W4,dso,anon-node-04,29,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/anon-node-04.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_anon-node-04.sh,e1_w4_dso_25
W4,dso,anon-node-05,28,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/anon-node-05.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_anon-node-05.sh,e1_w4_dso_26
W4,dso,anon-node-06,28,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/anon-node-06.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_anon-node-06.sh,e1_w4_dso_27
W4,dso,anon-node-07,28,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/anon-node-07.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_anon-node-07.sh,e1_w4_dso_28
W5,tpsr,anon-node-01,50,25,sim_tpsr,exp-planning/02.E1选择验证/generated/slices/W5/tpsr/anon-node-01.csv,exp-planning/02.E1选择验证/generated/params/tpsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W5/tpsr_anon-node-01.sh,e1_w5_tpsr_22
W5,tpsr,anon-node-02,50,25,sim_tpsr,exp-planning/02.E1选择验证/generated/slices/W5/tpsr/anon-node-02.csv,exp-planning/02.E1选择验证/generated/params/tpsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W5/tpsr_anon-node-02.sh,e1_w5_tpsr_23
W5,tpsr,anon-node-03,50,25,sim_tpsr,exp-planning/02.E1选择验证/generated/slices/W5/tpsr/anon-node-03.csv,exp-planning/02.E1选择验证/generated/params/tpsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W5/tpsr_anon-node-03.sh,e1_w5_tpsr_24
W5,tpsr,anon-node-04,50,25,sim_tpsr,exp-planning/02.E1选择验证/generated/slices/W5/tpsr/anon-node-04.csv,exp-planning/02.E1选择验证/generated/params/tpsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W5/tpsr_anon-node-04.sh,e1_w5_tpsr_25
