dataset_id,dataset_name,algorithm,seed,host,task_label,status,termination_reason,timeout_type,budget_exhausted,recovered_from_timeout,seconds,train_nmse,valid_nmse,id_nmse,ood_nmse,id_r2,ood_r2,has_expression,artifact_valid,normalized_expression,instantiated_expression,variables,operator_set,ast_node_count,tree_depth,n_features,feature_names,target_name,inject_prompt_semantics,llm_model_assignment,llm_config_path,background_preview,result_path
g0011,feynman-i.25.13,drsr,1314,anon-node-04,g0011_feynman-i.25.13,ok,completed,not_timeout,False,False,3612.033,1.0,1.0,1.0,1.0,-0.00010731299471666844,-0.003281605063359505,True,True,c0*x1/x0,0.2739233746429086*x1/x0,x0;x1,mul;pow,6.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Voltage given Electric charge, Electrostatic Capacitance There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""C, Electrostatic Capacit",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0011_feynman-i.25.13/result.json
g0012,feynman-i.26.2,drsr,1314,anon-node-05,g0012_feynman-i.26.2,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.324,1.338838533245595,1.5165931812155669,1.2393422250683879,1.038923642252187,-0.27646563244621714,-0.07784953529838279,True,True,sin(x0)/sin(x2),sin(x0)/sin(x2),x0;x2,mul;pow;sin,7.0,4.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Relative refractive index given Refraction angle 1, Refraction angle 2 There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""theta_1, R",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0012_feynman-i.26.2/result.json
g0013,feynman-bonus.20,drsr,1314,anon-node-02,g0013_feynman-bonus.20,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.276,1.0,1.0,1.0,1.0,-0.02101722284107188,-0.006704462436640579,True,True,c0*x1**2*exp(c2*x0)/(c1*x0**2*x2),-0.909049376283187*x1**2*exp(-0.19124179894967974*x0)/(0.2597346735173205*x0**2*x2),x0;x1;x2,exp;mul;pow,18.0,4.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Differential cross section given Fine structure constant, Planck constant, Electron mass",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0013_feynman-bonus.20/result.json
g0014,feynman-i.14.4,drsr,1314,anon-node-03,g0014_feynman-i.14.4,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.262,9.7345236936919e+37,1.1948921304389539e+38,7.977179676921889e+37,1.6651222085139382e+38,-8.822615385744838e+37,-1.2745457062356313e+40,True,True,0.5*c0*x0*x1**2 + c1*x0*x2,0.5*0.9999999997526734*x0*x1**2 + -0.05429090120485136*x0*x2,x0;x1;x2,add;mul;pow,12.0,4.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Elastic energy given Spring constant, Position There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""k_spring, Spring constant""; 1 vari",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0014_feynman-i.14.4/result.json
g0015,feynman-i.41.16,drsr,1314,anon-node-04,g0015_feynman-i.41.16,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3906.976,7.674806763283784e+39,1.888062503343197e+40,3.091808737287892e+30,1.0,-3.4175013205731326e+30,-27.456208505619323,True,True,c0*x0*x1**2/(exp(c1*x0*x1) - 1),-0.00012411064243681515*x0*x1**2/(exp(26.36631620677729*x0*x1) - 1),x0;x1,add;exp;mul;pow,15.0,6.0,2,x0;x1,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Radiation per frequency given Planck constant, Frequency of electromagnetic wave",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0015_feynman-i.41.16/result.json
g0016,first_principles_newton,drsr,1314,anon-node-05,g0016_first_principles_newton,ok,completed,not_timeout,False,False,3610.708,6.288133638305107e+44,1.396164805553313e+42,9.399716742687674e+31,8.604534771030472e+46,-1.4695265839119584e+35,-1.3656715077405821e+48,True,True,-c0*x1*x2/x0**2,--4.999998999439858e-13*x1*x2/x0**2,x0;x1;x2,mul;pow,8.0,3.0,3,r;m1;m2,target,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"The Newton's law of gravitation is a model for the gravitational force between two bodies, given their masses and distance. Data was synthetically generated using the Newton's law of gravitation, with a range of paramete",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0016_first_principles_newton/result.json
g0017,feynman-ii.11.28,drsr,1314,anon-node-02,g0017_feynman-ii.11.28,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.099,4.0924142426066465e-17,4.344038637689327e-17,3.350915368669902e-17,6.5751196058829905e-15,0.9956569667094898,0.8239788575309929,True,True,c0 + c1*x0*x1,1.000000003060586 + 0.9341311271755022*x0*x1,x0;x1,add;mul,6.0,3.0,2,x0;x1,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Electric dipole moment per unit volume given Number of electric dipoles, Molecular polarizability",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0017_feynman-ii.11.28/result.json
g0018,feynman-i.38.12,drsr,1314,anon-node-03,g0018_feynman-i.38.12,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.384,0.999807450141454,0.9997717439076503,0.9998412194064313,3.875442060553448,-0.10338293209629468,-2.914490660818541,True,True,c0*x0*x1**2/(pi*x3),0.7608883985798274*x0*x1**2/(pi*x3),x0;x1;x3,mul;pi;pow,12.0,3.0,4,x0;x1;x2;x3,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Bohr radius given Vacuum permittivity, Planck constant There are 4 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""epsilon, Vacuum permittivi",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0018_feynman-i.38.12/result.json
g0019,feynman-ii.15.5,drsr,1314,anon-node-04,g0019_feynman-ii.15.5,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.581,8932575620602959.0,9885018324688650.0,8513871247965166.0,2424720981052171.5,-8517614420987032.0,-2430007806458340.5,True,True,c0*x0*x1*cos(x2),-0.9236151937351231*x0*x1*cos(x2),x0;x1;x2,cos;mul,6.0,3.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Energy given Electric dipole moment, Magnitude of electric field, Angle There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""E, Magnit",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0019_feynman-ii.15.5/result.json
g0020,feynman-i.29.4,drsr,1314,anon-node-05,g0020_feynman-i.29.4,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.353,1.0,1.0,1.0,1.0,-0.7405443457250493,-90.25564136793507,True,True,6.66666666666667e-9*pi*c0*x0/c1,6.66666666666667e-9*pi*-0.3606999521519982*x0/-2.2647767649010895,x0,mul;pi;pow,8.0,3.0,4,x0;x1;x2;x3,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Wavenumber given Frequency of electromagnetic waves There are 4 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""omega, Frequency of electroma",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0020_feynman-i.29.4/result.json
g0021,feynman-i.14.3,drsr,1314,anon-node-02,g0021_feynman-i.14.3,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.144,1.7595426706938522e-15,1.647751148173497e-15,1.5020862008666485e-15,9.722981426372259e-20,0.9999999999999984,1.0,True,True,c0*x0**2 + c1*x0*x1 + c2*x1**3,-4.800710370301635e-09*x0**2 + 9.806649998565309*x0*x1 + -7.894133118812002e-09*x1**3,x0;x1,add;mul;pow,15.0,4.0,4,x0;x1;x2;x3,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Potential energy given Mass, Gravitational acceleration There are 4 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""g, Gravitational accelera",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0021_feynman-i.14.3/result.json
g0022,feynman-ii.11.20,drsr,1314,anon-node-03,g0022_feynman-ii.11.20,ok,completed,not_timeout,False,False,3611.971,1.0,1.0,1.0,1.0,-2.3801615078644645e-05,-0.0034370803457355326,True,True,c0*c3**6*x0**2/(c1*c4**3*c5**3),0.2739233746429086*-0.9669447289429418**6*x0**2/(-0.4604265724722594*0.6265404784005448**3*0.8255111545554434**3),x0,mul;pow,17.0,3.0,6,x0;x1;x2;x3;x4;x5,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Polarizability given Number of atom, Electric dipole moment, Magnitude of electric field, Boltzmann constant There are 6 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 v",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0022_feynman-ii.11.20/result.json
g0023,feynman-i.34.27,drsr,1314,anon-node-04,g0023_feynman-i.34.27,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3905.527,1.4688503768940688e+20,1.479796103097245e+20,1.3894031824581178e+20,1.3793779215892844e+20,-2.4319723498766713e+20,-1.3447023927674188e+22,True,True,c0*x0,-1.2411941811932845e-14*x0,x0,mul,3.0,2.0,4,x0;x1;x2;x3,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Energy given Planck constant There are 4 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""h, Planck constant""; 3 distractor/meaningless variab",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0023_feynman-i.34.27/result.json
g0024,feynman-iii.13.18,drsr,1314,anon-node-05,g0024_feynman-iii.13.18,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.21,0.9989975811558975,1.000243661281282,1.0034765983510165,1.000017020564787,-0.0038199614362099954,-0.004033893195523053,True,True,c0 + c1*x0 + c2*x3 + c3*x4,-1.5027514080542732 + -0.6149934463737907*x0 + 2.6959203399622596e-10*x3 + 0.6091105427983446*x4,x0;x3;x4,add;mul,11.0,3.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Speed of the waves given Energy, Lattice constant, Wavenumber There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Energy""; 1 varia",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0024_feynman-iii.13.18/result.json
g0025,feynman-bonus.4,drsr,1314,anon-node-02,g0025_feynman-bonus.4,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.468,1.8474035012607876e-15,1.6399782472269823e-15,2.1175449955565137e-15,1.84410708523722e-30,0.9999999999999954,1.0,True,True,sqrt((2*x1 - 2*x3)/x0),sqrt((2*x1 - 2*x3)/x0),x0;x1;x3,add;mul;pow,13.0,5.0,8,x0;x1;x2;x3;x4;x5;x6;x7,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Velocity given Mass (The Earth), Energy, Potential energy, Angular momentum, Distance There are 8 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic r",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0025_feynman-bonus.4/result.json
g0026,feynman-bonus.4,drsr,1314,anon-node-03,g0026_feynman-bonus.4,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.031,2.5693704070385037e-32,1.7422944564783832e-31,2.2082060433096583e-32,2.2351166775425346e-30,1.0,1.0,True,True,sqrt((2*x1 - 2*x2)/x0),sqrt((2*x1 - 2*x2)/x0),x0;x1;x2,add;mul;pow,13.0,5.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Velocity given Mass (The Earth), Energy, Potential energy, Angular momentum, Distance",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0026_feynman-bonus.4/result.json
g0027,feynman-iii.17.37,drsr,1314,anon-node-04,g0027_feynman-iii.17.37,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3902.272,231504968.02255565,251044968.27940184,223334983.8561927,19224206.647076525,-386244447.82995147,-2285953438.561537,True,True,c0 + c1*x0 + c2*x1 + c3*sin(x2),-3.447806813385009e-13 + -0.31957188584701157*x0 + 0.13692115367429025*x1 + -5.038087988576116e-13*sin(x2),x0;x1;x2,add;mul;sin,12.0,4.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Distribution given Variable, Variable, Angle There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""alpha, Variable""; 1 variable with se",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0027_feynman-iii.17.37/result.json
