dataset_id,original_expression,opus5_effective_expression,artifact_sha256,logical_id,evaluation_key
II.34.2_1_0,2 * mom / (q * r),2*mom/(q*r),6df4478428727769cc3704c37c617a3d595272a059e81f7fd53854aaff4a05fa,gt_simplify::II.34.2_1_0::v2,de05cdaba6dad9d0147add0581751fa2d55aeb528c98c349727c9c36f4a07ba7
II.6.15b_3_0,6 ** (1 / 3) * (p_d * np.sin(theta) * np.cos(theta) / (Ef * epsilon)) ** (1 / 3) / (2 * np.pi ** (1 / 3)),(3*p_d*sin(theta)*cos(theta)/(4*pi*Ef*epsilon))**(1/3),fb089192fe48967ad1fc684b5dec8a43d90007484c4b29e1de9403e73005c3ad,gt_simplify::II.6.15b_3_0::v2,620f4254ef62886c91f24780420cd8c1f061faba62c55ff55f3274e2d4efb60a
III.21.20_3_0,-A_vec * q * rho_c_0 / j,-A_vec*q*rho_c_0/j,555fb1df7d86a87ea7ad8850eea2dfb2cc3419aa5c4ef79ff6c5e4b9388b8cac,gt_simplify::III.21.20_3_0::v2,f897e32779e6e00f6fd6a6608b58e628e3b383f45e7fa6758b765f42ce930ef7
Keijzer-11,x1 * x2 + np.sin((x1 - 1) * (x2 - 1)),x1*x2 + sin((x1 - 1)*(x2 - 1)),13bc215cb84db0fbbf60224ae7c96b1dade565fd1cab53022965f383df5ae4e5,gt_simplify::Keijzer-11::v2,8d68f027bcb071d948839d13fe9e154685eb43ff94d86d1aa88221082fd035d8
Keijzer-2,0.3 * x1 * np.sin(2 * np.pi * x1),0.3*x1*sin(2*pi*x1),0a7ef1c070c60ce0fd7d087a6228b25c08dcd293cac7624627428ac5d0aeb2a1,gt_simplify::Keijzer-2::v2,b6da4511f4daf8d631edc32c7a79c00f0cb8f60e0e37ac279d0955e69b53c371
Korns-2,"0.23 + 14.2 * np.where(np.abs(3 * x5) > 0.001, np.divide(x4 + x2, 3 * x5), 1.0)","0.23 + 14.2*where(abs(3*x5) > 0.001, (x2 + x4)/(3*x5), 1.0)",8f2e8d7fcdbb436f5bacae7db5b23253549bd9b88469a151a46bb53f175c9c78,gt_simplify::Korns-2::v2,34e2483147c356fa9518227548e9ced9b1d217489b499db283fac49b8bbae5fd
Korns-4,0.13 * np.sin(x3) - 2.3,0.13*sin(x3) - 2.3,8ff6818acacfd86245997cc3b0e131fa4dd6d8ad9d25fdb7a8ce4aaaf478681e,gt_simplify::Korns-4::v2,ec6364dafaa725f67bd49c032cdbddfb74abc99291e55553e6f6e7946a7c619d
MatSci21,28.580443564163904 * epsilon ** 2 - 0.28570034656521326 * (T - 281.87025337570554) + epsilon ** 3 * 4.278428749432679 * (T - 281.87025337570554),28.580443564163904*epsilon**2 + (T - 281.87025337570554)*(4.278428749432679*epsilon**3 - 0.28570034656521326),bc4c1ab1456cb793ef3c8ff725b9ad6e42034e720e4a5861f2978e7d905d089a,gt_simplify::MatSci21::v2,02d7d83c0c7f605a04d378fb2e49156c236bc36bee9cc8c443b5f732dcf50cb2
Nguyen-12,"x1 ** 4 - x1 ** 3 + np.where(np.abs(2) > 0.001, np.divide(x2 ** 2, 2), 1.0) - x2",x1**4 - x1**3 + x2**2/2 - x2,c4aae4d5203effc8505e023f5d4c19014cb02ef8488e442422ba53f25ddb57f2,gt_simplify::Nguyen-12::v2,4239a20d01feae6501d210f165609b91b785703fff9a94224b2e19e12b380fcb
Nguyen-6,np.sin(x1) + np.sin(x1 + x1 ** 2),sin(x1) + sin(x1**2 + x1),411c9dbdbded6d3dc986bfe681d50e9c1f8875e786e483e6ef0383e7b37aa926,gt_simplify::Nguyen-6::v2,ad340ce6aba93126bb9cea6244e6ec136d026c27c3122867de45b012054b82d0
Nguyen-9,np.sin(x1) + np.sin(x2 ** 2),sin(x1) + sin(x2**2),9e8ef822a7e49eeb37ca3777d2568094b893712a1d449d9e6325e05ec4617521,gt_simplify::Nguyen-9::v2,d2206bada9f17fc6ad2eefca6d7086f506f17ba3043827360c2714fd8a7ca02b
PO19,-2 * 0.1 * v - 1.0 ** 2 * x * np.exp(-np.abs(x)),-0.2*v - x*exp(-Abs(x)),1a2a19851adda4c145dbf0537dd35553108d7dcd026cd507de4e2a3e6cfb2ced,gt_simplify::PO19::v2,51df337c65453ce87ca8125dd581b88664975e41132e87ac87c548fe2d42ab61
PO41,-0.3254156367450257 * (1 - x ** 2) * v - 0.3333333333333333 ** 2 * x * np.exp(-np.abs(x)),0.3254156367450257*v*(x**2 - 1) - 0.3333333333333333**2*x*exp(-abs(x)),b385e2ecaab204805bf61b2d94f9c8b3dec9a2cdbdd0182b4fb2ce97d4539cad,gt_simplify::PO41::v2,c2fc53be4424710a7aa7b42517c867062717780aa78057754ecb03e1ddab4075
Vladislavleva-4,"np.where(np.abs(5 + ((x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2)) > 0.001, np.divide(10, 5 + ((x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2)), 1.0)",10/((x1 - 3)**2 + (x2 - 3)**2 + (x3 - 3)**2 + (x4 - 3)**2 + (x5 - 3)**2 + 5),f778735056df2b51f87de4ad0fab49b8a45be0258839eda19954ca790c8ffeea,gt_simplify::Vladislavleva-4::v2,e5c7c34ba25cd0232b028bc6eb4369826c70f5695251de878abd7a7ea79ae10c
feynman-bonus.20,7.83707760458308e-29 * x2 ** 2 * (x2 / x3 - np.sin(x5) ** 2 + x3 / x2) / (np.pi * x3 ** 2),7.83707760458308e-29 * x2 ** 2 * (x2 / x3 - np.sin(x5) ** 2 + x3 / x2) / (np.pi * x3 ** 2),f17fb00134eb7247ef8d1deca935d845b2c677ab2c8822808a32dd2446061103,gt_simplify::feynman-bonus.20::v2,c0086deddd61da3c6b3d9a4345ed05f9db104b9a2d13da96cde89bb2c2f9b124
feynman-i.11.19,x0 * x1 + x2 * x3 + x5 * x6,x0*x1 + x2*x3 + x5*x6,f8c84da3e9438f69f4d3f9181f47dd439290e1aae1f105adc9b8a6ce01ddcb4c,gt_simplify::feynman-i.11.19::v2,8ccb8ab08a020243ba13423c66d6b935b261c3a38f39c7472ed78d33873aead2
feynman-i.13.12,6.6743e-11 * x0 * x1 * (-1 / x3 + 1 / x2),6.6743e-11*x0*x1*(-1/x3 + 1/x2),5cd495e432bb635ba4d2693ca1fea02ff6a79165ef0eb43ac30a90f405d92af0,gt_simplify::feynman-i.13.12::v2,c84eebf966069bcf6406bd6586820901fe988df1c91165b5e4fada89f9e0f791
feynman-i.15.3t,(x1 - 1.11265005605362e-17 * x3 * x4) / np.sqrt(1 - 1.11265005605362e-17 * x3 ** 2),(x1 - 1.11265005605362e-17*x3*x4)/sqrt(1 - 1.11265005605362e-17*x3**2),f053b3423cc86b965bc7dfd7d40a6e18a1cc73a9668a14225fa966c600894508,gt_simplify::feynman-i.15.3t::v2,c76c1cc7de5443c8eacb3bc8a7781cec115d4b58784a36d0a4d0692e243e0de1
feynman-i.18.16,x0 * x1 * x3 * np.sin(x4),x0*x1*x3*sin(x4),754a885d4c533265173f21d08bd10345b05a6c5c83a4cce1827211dbbaefcffb,gt_simplify::feynman-i.18.16::v2,abb65521a74e14e77e20aa6217ea32429ed00c6a84c278a22bfc94e33ec6a49b
feynman-i.29.16,np.sqrt(x0 ** 2 + 2 * x0 * x1 * np.cos(x2 - x3) + x1 ** 2),sqrt(x0**2 + 2*x0*x1*cos(x2 - x3) + x1**2),49a961f844ce86a4b220187a4b7291662af711c431fb3b965a430e7a9100c2d6,gt_simplify::feynman-i.29.16::v2,a6c6154cebcd263c49e0c44474ea70b6aa6faf69cb07fe9cc19daaea97710d2c
feynman-i.32.5,6.9862982685735e-16 * x0 ** 2 * x1 ** 2 / np.pi,6.9862982685735e-16*x0**2*x1**2/pi,46523cfcc4bfb657567bf99a8bac42ae8b6342cef1271fc582f64b19df686fe6,gt_simplify::feynman-i.32.5::v2,6693e5c3df1eaec1325cfb162116533ac6663821d83f12a4b5bb2f8348af2943
feynman-i.39.22,1.380649e-23 * x1 * x3 / x4,1.380649e-23 * x1 * x3 / x4,299cad262245555a47ed6ea65d65564c3eecb848ed9129c2aac83dfd49b6681d,gt_simplify::feynman-i.39.22::v2,58d0e4c38ca10a523d58473028ff2011cea41e3b487dade662a54391ad151432
feynman-i.43.31,1.380649e-23 * x0 * x1,1.380649e-23*x0*x1,9dee3efb1232c79f3ff18aa9f99641330b43e6f2206c39aaa0dcd5d080d75958,gt_simplify::feynman-i.43.31::v2,ecb31a5344c0e9d8976d027a15f7e929b40c261d9846eef80ce346bfaeaf8ae8
feynman-ii.27.18,8.854e-12 * x0 ** 2,8.854e-12*x0**2,260ad4139528045b5e4441590b2da686fc914cdd44cbbdee96884dd67f961124,gt_simplify::feynman-ii.27.18::v2,526b67330c417b55e3177c697e71545a776318faa21170e9e7674cd0b6f005d8
feynman-ii.34.11,x0 * x2 * x4 / (2 * x5),x0*x2*x4/(2*x5),4f911efcde8d5d1e04935d26165d5d464866763ff3db0f02748a6922a2f601ff,gt_simplify::feynman-ii.34.11::v2,7e9b2991856acf90dd4838f9b7ca446b98b13945b6e6d2765f6801f276176e72
feynman-ii.34.2a,x1 * x3 / (2 * np.pi * x4),x1*x3/(2*pi*x4),92f846bc38652acda8de76a9bbc5ab3d3c6c0b6ee3146486abc5aaa21df1ad68,gt_simplify::feynman-ii.34.2a::v2,f868678f91d779f8cb78ffea94f9a76465468748c549ec82c401bccfa00b7315
feynman-ii.4.23,28235825615.541 * x0 / (np.pi * x1),28235825615.541*x0/(pi*x1),c4ecfad4f799e6404f30681ec3134544a20767813933cfdf8f772ccd9ed7ca2c,gt_simplify::feynman-ii.4.23::v2,3d40968670cef471631b461a923f979c75b5a4b1aa379d2dd66cb8122cf05cf5
feynman-iii.10.19,x2 * np.sqrt(x3 ** 2 + x4 ** 2 + x5 ** 2),x2*sqrt(x3**2 + x4**2 + x5**2),93f9825129b455ad2cfca86fa79f33444c48b35d80175b5acdd4be9e7f46a52a,gt_simplify::feynman-iii.10.19::v2,089fa66bd08fa754a1b21171e6f549e843e10c6d013dac62dd888ba195603029
feynman-iii.7.38,6.03682463024449e+33 * np.pi * x0 * x1,6.03682463024449e+33*pi*x0*x1,0eca7b3def266a89b776f25995e2d8c8f51ce763e79f5a37666e5e462afc3cf0,gt_simplify::feynman-iii.7.38::v2,795a33955f32449c3668893df80d01820ec6e78269139459b7965015cd824538
feynman_II_15_4,-mom * B * np.cos(theta),-B*mom*cos(theta),9c027197c97f4b7ec8cbf5d0b0f2032574a5e1288dbe8a687e494213c93e439f,gt_simplify::feynman_II_15_4::v2,9cb046ef91b31de4cb446ea24500e554b98a6aa0b2412ee89d6d5e56fa7a2ea3
feynman_I_12_11,q * (Ef + B * v * np.sin(theta)),q*(Ef + B*v*sin(theta)),b6b2a8271084a61f3db9689235afdec871949fff7724920134f2457a126790d9,gt_simplify::feynman_I_12_11::v2,30bf497bf7a469e0a88ed759077281942caef49638eb0e6d8692ead032c9d29f
feynman_I_27_6,1 / (1 / d1 + n / d2),d1*d2/(d1*n + d2),7e07ad542df3b345be6e39a661058b68a8ee87bb10f9f685f993fb3b5578407c,gt_simplify::feynman_I_27_6::v2,10ae05310bc40aed60886485cef5a8dd48fac13e18a29985e3901cde8e59f034
feynman_test_15,np.sqrt(1 - v ** 2 / c ** 2) * omega / (1 + v / c * np.cos(theta)),omega*sqrt(1 - v**2/c**2)/(1 + v*cos(theta)/c),c2b4244fd653f1f2dae0dd802ceef767d14bf24e32095561f889fb675f346647,gt_simplify::feynman_test_15::v2,67dbc7f2c7b54d64969535d01647b64c27400ed50af5ca7ef1e7810308fba050
first_principles_hubble,73.3 * D,73.3*D,f90f926ea7ea89b7ce265c6e5ca47d23ed4936b9324f5b524f180789d24bb423,gt_simplify::first_principles_hubble::v2,4593a1f5fece887724717d7b776ac1f506b80c7b685c2209f4ff4fc9a47eea9e
first_principles_leavitt,-2.084 * logP + 15.65,-2.084*logP + 15.65,b656ef7a02c24434e960908f654c7e951bc81969deb843cab2272a77fe210c61,gt_simplify::first_principles_leavitt::v2,2ba53660540ecea0619e289dd55b8fb22bbb98a920b1dcc3d2d86dc53d1176a3
strogatz_barmag1,0.5 * np.sin(x - y) - np.sin(x),0.5*sin(x - y) - sin(x),d3edf1b9e20422e688e61fa0e34bdb6bb4db1b4a34b53ec56baeb737bb652162,gt_simplify::strogatz_barmag1::v2,0ff20e32193b82e8868ece9982b448a9c03b75f976daf031924e0598c9d8047e
strogatz_barmag2,0.5 * np.sin(y - x) - np.sin(y),0.5*sin(y - x) - sin(y),f22b9534b0ea21d55b39e7a4f23ebcdcd704c0272185920ac6955c856ddddb3e,gt_simplify::strogatz_barmag2::v2,6cc06a0cc96966e82df7b4d177a7a7598c6a4b42018533943c27a38bef0cc8f3
strogatz_predprey2,y * (x / (1 + x) - 0.075 * y),y*(x/(x + 1) - 0.075*y),dfbae33b26d7fdce5bdeeff14caba47bbb91e51d3d784de98a2ef35f82329f06,gt_simplify::strogatz_predprey2::v2,39a23c3eac56f191625ca13830437b6738f4604d16d70b5d0cea07b0dd5711f4
strogatz_shearflow1,1 / np.tan(y) * np.cos(x),cos(x)/tan(y),cfb5284c1b2ca64ec1a1143ddbfbb5399dad25162dd0cefa147a6cf4fa3d0f49,gt_simplify::strogatz_shearflow1::v2,82a41fad771e5024e2c41bd7b97551647a2f41f39a0342d1ade20c478ff80f5e
strogatz_vdp1,10 * (y - 1 / 3 * x ** 3 + 1 / 3 * x),10*(3*y - x**3 + x)/3,72a3f68146945837531c66d7868dae49a001e8bd6a1b8169083c9b4b3b5a489c,gt_simplify::strogatz_vdp1::v2,91e7a88953e8616d9a6dfeecfdb537f506cc865510e99e0f2124756b72b8a631
