sample_id,attempt_number,physical_request_ordinal,status,input_tokens,output_tokens,total_tokens
review_000052,1,52,accepted,1423,227,1650
review_000053,1,53,accepted,1434,144,1578
review_000054,1,54,accepted,1487,108,1595
review_000055,1,55,accepted,1399,152,1551
review_000057,1,56,accepted,1408,392,1800
review_000058,1,57,accepted,1431,103,1534
review_000059,1,58,accepted,1386,220,1606
review_000060,1,59,accepted,1366,207,1573
review_000061,1,60,accepted,1377,212,1589
review_000062,1,61,accepted,1410,110,1520
review_000063,1,62,accepted,1431,156,1587
review_000064,1,63,accepted,1437,195,1632
review_000065,1,64,accepted,1270,285,1555
review_000066,1,65,accepted,1308,340,1648
review_000067,1,66,accepted,1519,219,1738
review_000068,1,67,accepted,1429,90,1519
review_000069,1,68,accepted,1441,251,1692
review_000070,1,69,accepted,1423,194,1617
review_000071,1,70,accepted,1468,150,1618
review_000072,1,71,accepted,1484,93,1577
review_000073,1,72,accepted,1444,101,1545
review_000074,1,73,accepted,1220,88,1308
review_000075,1,74,accepted,1292,167,1459
review_000076,1,75,accepted,1376,166,1542
review_000077,1,76,accepted,1325,90,1415
review_000078,1,77,accepted,1312,176,1488
review_000079,1,78,accepted,1237,89,1326
review_000080,1,79,accepted,1268,90,1358
review_000081,1,80,accepted,1434,139,1573
review_000082,1,81,accepted,1385,141,1526
review_000083,1,82,accepted,1395,106,1501
review_000084,1,83,accepted,1360,263,1623
review_000085,1,84,accepted,1254,191,1445
review_000086,1,85,accepted,1232,90,1322
review_000087,1,86,accepted,1230,86,1316
review_000088,1,87,accepted,1241,122,1363
review_000089,1,88,accepted,1237,184,1421
review_000090,1,89,accepted,1462,223,1685
review_000091,1,90,accepted,1322,114,1436
review_000092,1,91,accepted,1265,99,1364
review_000093,1,92,accepted,1265,90,1355
review_000094,1,93,accepted,1243,90,1333
review_000095,1,94,accepted,1247,90,1337
review_000096,1,95,accepted,1307,162,1469
review_000097,1,96,accepted,1251,203,1454
review_000098,1,97,accepted,1473,208,1681
review_000099,1,98,accepted,1335,90,1425
review_000100,1,99,accepted,1669,119,1788
review_000101,1,100,accepted,1466,104,1570
review_000102,1,101,accepted,1401,239,1640
review_000103,1,102,accepted,1494,202,1696
review_000104,1,103,accepted,1500,107,1607
review_000105,1,104,accepted,1283,90,1373
review_000106,1,105,accepted,1372,133,1505
review_000107,1,106,accepted,1391,151,1542
review_000108,1,107,accepted,1424,181,1605
review_000109,1,108,accepted,1436,119,1555
review_000110,1,110,accepted,1384,206,1590
review_000111,1,109,accepted,1371,108,1479
review_000112,1,111,accepted,1344,117,1461
review_000113,1,112,accepted,1428,354,1782
review_000114,1,113,accepted,1438,328,1766
review_000115,1,114,accepted,1314,100,1414
review_000116,1,115,accepted,1253,90,1343
review_000117,1,130,accepted,1484,235,1719
review_000118,1,117,accepted,1434,214,1648
review_000119,1,118,accepted,1433,163,1596
review_000120,1,132,accepted,1431,138,1569
review_000121,1,120,accepted,1417,163,1580
review_000122,1,121,accepted,1453,172,1625
review_000123,1,122,accepted,1431,241,1672
review_000124,1,123,accepted,1206,103,1309
review_000125,1,124,accepted,1307,150,1457
review_000126,1,127,accepted,1299,152,1451
review_000127,1,125,accepted,1265,234,1499
review_000128,1,126,accepted,1308,210,1518
review_000129,1,129,accepted,1257,202,1459
review_000130,1,128,accepted,1392,233,1625
review_000131,1,116,accepted,1420,156,1576
review_000132,1,119,accepted,1369,180,1549
review_000133,1,131,accepted,1362,219,1581
review_000134,1,133,accepted,1340,214,1554
review_000135,1,134,accepted,1228,88,1316
review_000136,1,135,accepted,1299,90,1389
review_000137,1,136,accepted,1248,90,1338
review_000138,1,137,accepted,1216,89,1305
review_000139,1,138,accepted,1274,251,1525
review_000140,1,139,accepted,1469,103,1572
review_000141,1,140,accepted,1262,90,1352
review_000142,1,141,accepted,1293,107,1400
review_000143,1,142,accepted,1292,196,1488
review_000144,1,143,accepted,1247,88,1335
review_000145,1,144,accepted,1360,115,1475
review_000146,1,145,accepted,1290,90,1380
review_000147,1,146,accepted,1304,220,1524
review_000148,1,147,accepted,1476,94,1570
review_000149,1,148,accepted,1301,477,1778
review_000150,1,149,accepted,1391,96,1487
review_000151,1,150,accepted,1431,213,1644
review_000152,1,151,accepted,1406,222,1628
review_000153,1,152,accepted,1433,153,1586
review_000154,1,153,accepted,1495,108,1603
review_000155,1,154,accepted,1355,264,1619
review_000156,1,155,accepted,1390,153,1543
review_000157,1,156,accepted,1370,208,1578
review_000158,1,157,accepted,1380,302,1682
review_000159,1,158,accepted,1373,171,1544
review_000160,1,159,accepted,1362,135,1497
review_000161,1,160,accepted,1409,309,1718
review_000162,1,161,accepted,1398,145,1543
review_000163,1,162,accepted,1415,132,1547
review_000164,1,163,accepted,1411,98,1509
review_000165,1,164,accepted,1266,200,1466
review_000166,1,165,accepted,1247,90,1337
review_000167,1,166,accepted,1315,232,1547
review_000168,1,167,accepted,1380,192,1572
review_000169,1,168,accepted,1421,100,1521
review_000170,1,169,accepted,1405,140,1545
review_000171,1,170,accepted,1479,136,1615
review_000172,1,171,accepted,1417,193,1610
review_000173,1,172,accepted,1445,140,1585
review_000174,1,173,accepted,1214,97,1311
review_000175,1,174,accepted,1262,90,1352
review_000176,1,175,accepted,1319,160,1479
review_000177,1,176,accepted,1277,151,1428
review_000178,1,177,accepted,1298,146,1444
review_000179,1,178,accepted,1396,899,2295
review_000180,1,179,accepted,1345,114,1459
review_000181,1,180,accepted,1439,264,1703
review_000182,1,181,accepted,1328,148,1476
review_000183,1,182,accepted,1395,140,1535
review_000184,1,183,accepted,1466,93,1559
review_000185,1,184,accepted,1250,230,1480
review_000186,1,185,accepted,1264,298,1562
review_000187,1,186,accepted,1244,90,1334
review_000188,1,187,accepted,1296,140,1436
review_000189,1,188,accepted,1262,323,1585
review_000190,1,189,accepted,1453,121,1574
review_000191,1,190,accepted,1332,90,1422
review_000192,1,191,accepted,1296,172,1468
review_000193,1,192,accepted,1225,88,1313
review_000194,1,193,accepted,1244,88,1332
review_000195,1,194,accepted,1266,230,1496
review_000196,1,195,accepted,1327,270,1597
review_000197,1,196,accepted,1267,100,1367
review_000198,1,197,accepted,1448,159,1607
review_000199,1,198,accepted,1377,167,1544
review_000200,1,199,accepted,1481,95,1576
review_000201,1,200,accepted,1245,213,1458
review_000202,1,201,accepted,1256,90,1346
review_000203,1,202,accepted,1248,90,1338
review_000204,1,203,accepted,1225,91,1316
review_000205,1,204,accepted,1226,118,1344
review_000206,1,205,accepted,1254,90,1344
review_000207,1,206,accepted,1256,254,1510
review_000208,1,207,accepted,1238,120,1358
review_000209,1,208,accepted,1262,208,1470
review_000210,1,209,accepted,1233,91,1324
review_000211,1,210,accepted,1240,115,1355
review_000212,1,211,accepted,1230,88,1318
review_000213,1,212,accepted,1236,106,1342
review_000214,1,213,accepted,1249,122,1371
review_000215,1,214,accepted,1232,90,1322
review_000216,1,215,accepted,1257,92,1349
review_000217,1,216,accepted,1232,94,1326
review_000218,1,217,accepted,1254,428,1682
review_000219,1,218,accepted,1222,92,1314
review_000220,1,219,accepted,1238,112,1350
review_000221,1,220,accepted,1255,86,1341
review_000222,1,221,accepted,1236,90,1326
review_000223,1,222,accepted,1229,90,1319
review_000224,1,223,accepted,1223,104,1327
review_000225,1,224,accepted,1245,90,1335
review_000226,1,225,accepted,1262,90,1352
review_000227,1,226,accepted,1220,86,1306
review_000228,1,227,accepted,1256,377,1633
review_000229,1,228,accepted,1239,88,1327
review_000230,1,229,accepted,1250,90,1340
review_000231,1,230,accepted,1235,93,1328
review_000232,1,231,accepted,1243,90,1333
review_000233,1,232,accepted,1259,92,1351
review_000234,1,233,accepted,1245,206,1451
review_000235,1,234,accepted,1283,90,1373
review_000236,1,235,accepted,1320,1496,2816
review_000237,1,236,accepted,1231,90,1321
review_000238,1,237,accepted,1259,90,1349
review_000239,1,238,accepted,1248,90,1338
review_000240,1,239,accepted,1255,88,1343
review_000241,1,240,accepted,1226,88,1314
review_000242,1,241,accepted,1265,298,1563
review_000243,1,242,accepted,1265,91,1356
review_000244,1,243,accepted,1260,90,1350
review_000245,1,244,accepted,1210,91,1301
review_000246,1,245,accepted,1241,176,1417
review_000247,1,246,accepted,1264,394,1658
review_000248,1,247,accepted,1239,90,1329
review_000249,1,248,accepted,1267,90,1357
review_000250,1,249,accepted,1216,87,1303
review_000251,1,250,accepted,1233,88,1321
review_000252,1,251,accepted,1238,125,1363
review_000253,1,252,accepted,1249,86,1335
review_000254,1,253,accepted,1256,401,1657
review_000255,1,255,accepted,1245,291,1536
review_000256,1,254,accepted,1233,90,1323
review_000257,1,256,accepted,1232,443,1675
review_000258,1,257,accepted,1227,118,1345
review_000259,1,258,accepted,1232,90,1322
review_000260,1,259,accepted,1232,90,1322
review_000261,1,260,accepted,1224,90,1314
review_000262,1,261,accepted,1236,334,1570
review_000263,1,262,accepted,1238,88,1326
review_000264,1,263,accepted,1241,90,1331
review_000265,1,264,accepted,1222,88,1310
review_000266,1,265,accepted,1246,90,1336
review_000267,1,266,accepted,1226,109,1335
review_000268,1,267,accepted,1239,128,1367
review_000269,1,268,accepted,1253,92,1345
review_000270,1,269,accepted,1225,110,1335
review_000271,1,270,accepted,1246,90,1336
review_000272,1,271,accepted,1239,88,1327
review_000273,1,272,accepted,1233,90,1323
review_000274,1,273,accepted,1224,102,1326
review_000275,1,274,accepted,1231,277,1508
review_000276,1,275,accepted,1228,90,1318
review_000277,1,276,accepted,1246,92,1338
review_000278,1,277,accepted,1246,282,1528
review_000279,1,278,accepted,1247,215,1462
review_000280,1,279,accepted,1237,90,1327
review_000281,1,280,accepted,1227,91,1318
review_000282,1,281,accepted,1245,93,1338
review_000283,1,282,accepted,1256,297,1553
review_000284,1,283,accepted,1230,90,1320
review_000285,1,284,accepted,1273,223,1496
review_000286,1,285,accepted,1267,90,1357
review_000287,1,286,accepted,1235,90,1325
review_000288,1,287,accepted,1260,553,1813
review_000289,1,288,accepted,1263,90,1353
review_000290,1,289,accepted,1239,90,1329
review_000291,1,290,accepted,1263,255,1518
review_000292,1,291,accepted,1251,340,1591
review_000293,1,292,accepted,1268,351,1619
review_000294,1,293,accepted,1266,90,1356
review_000295,1,294,accepted,1219,80,1299
review_000296,1,295,accepted,1227,88,1315
review_000297,1,296,accepted,1251,91,1342
review_000298,1,297,accepted,1247,90,1337
review_000299,1,298,accepted,1241,90,1331
review_000300,1,299,accepted,1231,90,1321
review_000301,1,300,accepted,1261,90,1351
review_000302,1,301,accepted,1241,90,1331
review_000303,1,302,accepted,1244,185,1429
review_000304,1,303,accepted,1235,93,1328
review_000305,1,304,accepted,1220,213,1433
review_000306,1,305,accepted,1236,211,1447
review_000307,1,306,accepted,1254,1610,2864
review_000308,1,307,accepted,1244,220,1464
review_000309,1,308,accepted,1241,249,1490
review_000310,1,309,accepted,1228,90,1318
review_000311,1,310,accepted,1223,90,1313
review_000312,1,311,accepted,1237,93,1330
review_000313,1,312,accepted,1234,90,1324
review_000314,1,313,accepted,1245,90,1335
review_000315,1,314,accepted,1224,90,1314
review_000316,1,315,accepted,1251,251,1502
review_000317,1,316,accepted,1242,90,1332
review_000318,1,317,accepted,1266,90,1356
review_000319,1,318,accepted,1222,86,1308
review_000320,1,319,accepted,1236,109,1345
review_000321,1,320,accepted,1248,90,1338
review_000322,1,321,accepted,1235,90,1325
review_000323,1,322,accepted,1228,88,1316
review_000324,1,323,accepted,1239,104,1343
review_000325,1,324,accepted,1235,86,1321
review_000326,1,325,accepted,1227,343,1570
review_000327,1,326,accepted,1224,90,1314
review_000328,1,327,accepted,1275,482,1757
review_000329,1,328,accepted,1228,90,1318
review_000330,1,329,accepted,1229,91,1320
review_000331,1,330,accepted,1237,88,1325
review_000332,1,331,accepted,1244,92,1336
review_000333,1,332,accepted,1245,256,1501
review_000334,1,333,accepted,1266,90,1356
review_000335,1,334,accepted,1260,90,1350
review_000336,1,335,accepted,1293,114,1407
review_000337,1,336,accepted,1236,90,1326
review_000338,1,337,accepted,1236,88,1324
review_000339,1,338,accepted,1283,137,1420
review_000340,1,339,accepted,1239,90,1329
review_000341,1,340,accepted,1228,90,1318
review_000342,1,341,accepted,1269,345,1614
review_000343,1,342,accepted,1265,255,1520
review_000344,1,343,accepted,1265,90,1355
review_000345,1,344,accepted,1218,93,1311
review_000346,1,345,accepted,1239,292,1531
review_000347,1,346,accepted,1259,352,1611
review_000348,1,347,accepted,1230,91,1321
review_000349,1,348,accepted,1284,233,1517
review_000350,1,349,accepted,1233,90,1323
review_000351,1,350,accepted,1277,90,1367
review_000352,1,351,accepted,1279,90,1369
review_000353,1,352,accepted,1311,520,1831
review_000354,1,353,accepted,1296,88,1384
review_000355,1,354,accepted,1317,183,1500
review_000356,1,355,accepted,1265,168,1433
review_000357,1,356,accepted,1304,193,1497
review_000358,1,357,accepted,1263,88,1351
review_000359,1,358,accepted,1258,90,1348
review_000360,1,359,accepted,1263,92,1355
review_000361,1,360,accepted,1310,90,1400
review_000362,1,361,accepted,1275,88,1363
review_000363,1,362,accepted,1315,213,1528
review_000364,1,363,accepted,1340,90,1430
review_000365,1,364,accepted,1280,546,1826
review_000366,1,365,accepted,1358,88,1446
review_000367,1,366,accepted,1316,90,1406
review_000368,1,367,accepted,1284,405,1689
review_000369,1,368,accepted,1288,88,1376
review_000370,1,369,accepted,1239,88,1327
review_000371,1,370,accepted,1284,88,1372
review_000372,1,371,accepted,1244,235,1479
review_000373,1,372,accepted,1328,575,1903
review_000374,1,373,accepted,1274,89,1363
review_000375,1,374,accepted,1342,92,1434
review_000376,1,375,accepted,1300,90,1390
review_000377,1,376,accepted,1354,91,1445
review_000378,1,377,accepted,1297,90,1387
review_000379,1,378,accepted,1282,572,1854
review_000380,1,379,accepted,1238,88,1326
review_000381,1,380,accepted,1279,233,1512
review_000382,1,381,accepted,1280,388,1668
review_000383,1,382,accepted,1283,90,1373
review_000384,1,383,accepted,1301,88,1389
review_000385,1,384,accepted,1303,90,1393
review_000386,1,385,accepted,1291,88,1379
review_000387,1,386,accepted,1375,462,1837
review_000388,1,387,accepted,1334,90,1424
review_000389,1,388,accepted,1380,246,1626
review_000390,1,389,accepted,1376,90,1466
review_000391,1,390,accepted,1393,90,1483
review_000392,1,391,accepted,1328,88,1416
review_000393,1,392,accepted,1383,247,1630
review_000394,1,393,accepted,1417,214,1631
review_000395,1,394,accepted,1346,264,1610
review_000396,1,395,accepted,1296,88,1384
review_000397,1,396,accepted,1296,92,1388
review_000398,1,397,accepted,1386,246,1632
review_000399,1,398,accepted,1344,208,1552
review_000400,1,399,accepted,1357,196,1553
review_000401,1,400,accepted,1277,90,1367
review_000402,1,401,accepted,1281,407,1688
review_000403,1,402,accepted,1318,494,1812
review_000404,1,403,accepted,1288,90,1378
review_000405,1,404,accepted,1309,158,1467
review_000406,1,405,accepted,1298,131,1429
review_000407,1,406,accepted,1293,90,1383
review_000408,1,407,accepted,1260,90,1350
review_000409,1,408,accepted,1275,390,1665
review_000410,1,409,accepted,1261,90,1351
review_000411,1,410,accepted,1309,517,1826
review_000412,1,411,accepted,1272,276,1548
review_000413,1,412,accepted,1353,211,1564
review_000414,1,413,accepted,1336,90,1426
review_000415,1,414,accepted,1298,90,1388
review_000416,1,415,accepted,1409,93,1502
review_000417,1,416,accepted,1325,92,1417
review_000418,1,417,accepted,1300,1055,2355
review_000419,1,418,accepted,1279,88,1367
review_000420,1,419,accepted,1237,90,1327
review_000421,1,420,accepted,1282,90,1372
review_000422,1,421,accepted,1252,249,1501
review_000423,1,422,accepted,1340,327,1667
review_000424,1,423,accepted,1278,90,1368
review_000425,1,424,accepted,1337,90,1427
review_000426,1,425,accepted,1294,90,1384
review_000427,1,426,accepted,1372,90,1462
review_000428,1,427,accepted,1291,257,1548
review_000429,1,428,accepted,1283,359,1642
review_000430,1,429,accepted,1236,88,1324
review_000431,1,430,accepted,1312,90,1402
review_000432,1,431,accepted,1275,90,1365
review_000433,1,432,accepted,1283,90,1373
review_000434,1,433,accepted,1297,357,1654
review_000435,1,434,accepted,1300,286,1586
review_000436,1,435,accepted,1300,90,1390
review_000437,1,436,accepted,1410,391,1801
review_000438,1,437,accepted,1355,384,1739
review_000439,1,438,accepted,1429,93,1522
review_000440,1,439,accepted,1387,90,1477
review_000441,1,440,accepted,1352,249,1601
review_000442,1,441,accepted,1323,90,1413
review_000443,1,442,accepted,1386,206,1592
review_000444,1,443,accepted,1355,300,1655
review_000445,1,444,accepted,1429,93,1522
review_000446,1,445,accepted,1294,88,1382
review_000447,1,446,accepted,1257,299,1556
review_000448,1,447,accepted,1377,90,1467
review_000449,1,448,accepted,1315,426,1741
review_000450,1,449,accepted,1383,90,1473
review_000451,1,450,accepted,1278,88,1366
review_000452,1,451,accepted,1285,90,1375
review_000453,1,452,accepted,1310,442,1752
review_000454,1,453,accepted,1302,92,1394
review_000455,1,454,accepted,1309,234,1543
review_000456,1,455,accepted,1279,90,1369
review_000457,1,456,accepted,1286,90,1376
review_000458,1,457,accepted,1262,88,1350
review_000459,1,458,accepted,1279,88,1367
review_000460,1,459,accepted,1253,86,1339
review_000461,1,460,accepted,1296,298,1594
review_000462,1,461,accepted,1284,90,1374
review_000463,1,462,accepted,1326,480,1806
review_000464,1,463,accepted,1321,343,1664
review_000465,1,464,accepted,1282,90,1372
review_000466,1,465,accepted,1373,639,2012
review_000467,1,466,accepted,1308,248,1556
review_000468,1,467,accepted,1285,355,1640
review_000469,1,468,accepted,1265,90,1355
review_000470,1,469,accepted,1232,86,1318
review_000471,1,470,accepted,1287,88,1375
review_000472,1,471,accepted,1255,217,1472
review_000473,1,472,accepted,1336,90,1426
review_000474,1,473,accepted,1279,90,1369
review_000475,1,474,accepted,1337,90,1427
review_000476,1,475,accepted,1318,90,1408
review_000477,1,476,accepted,1331,90,1421
review_000478,1,477,accepted,1323,249,1572
review_000479,1,478,accepted,1276,224,1500
review_000480,1,479,accepted,1235,119,1354
review_000481,1,480,accepted,1314,92,1406
review_000482,1,481,accepted,1256,225,1481
review_000483,1,482,accepted,1289,90,1379
review_000484,1,483,accepted,1308,463,1771
review_000485,1,484,accepted,1308,277,1585
review_000486,1,485,accepted,1308,90,1398
review_000487,1,486,accepted,1453,544,1997
review_000488,1,487,accepted,1348,92,1440
review_000489,1,488,accepted,1422,220,1642
review_000490,1,489,accepted,1381,344,1725
review_000491,1,490,accepted,1362,90,1452
review_000492,1,491,accepted,1324,92,1416
review_000493,1,492,accepted,1366,318,1684
review_000494,1,493,accepted,1348,240,1588
review_000495,1,494,accepted,1379,239,1618
review_000496,1,495,accepted,1289,86,1375
review_000497,1,496,accepted,1289,90,1379
review_000498,1,497,accepted,1383,443,1826
review_000499,1,498,accepted,1307,90,1397
review_000500,1,499,accepted,1356,535,1891
review_000501,1,500,accepted,1263,90,1353
review_000502,1,501,accepted,1274,92,1366
review_000503,1,502,accepted,1272,217,1489
review_000504,1,503,accepted,1210,84,1294
review_000505,1,504,accepted,1222,88,1310
review_000506,1,505,accepted,1228,90,1318
review_000507,1,506,accepted,1236,89,1325
review_000508,1,507,accepted,1273,90,1363
review_000509,1,508,accepted,1329,306,1635
review_000510,1,509,accepted,1234,88,1322
review_000511,1,510,accepted,1247,203,1450
review_000512,1,511,accepted,1240,92,1332
review_000513,1,512,accepted,1212,88,1300
review_000514,1,513,accepted,1221,90,1311
review_000515,1,514,accepted,1236,212,1448
review_000516,1,515,accepted,1267,194,1461
review_000517,1,516,accepted,1259,101,1360
review_000518,1,517,accepted,1258,487,1745
review_000519,1,518,accepted,1249,103,1352
review_000520,1,519,accepted,1227,257,1484
review_000521,1,520,accepted,1266,90,1356
review_000522,1,521,accepted,1220,86,1306
review_000523,1,522,accepted,1208,86,1294
review_000524,1,523,accepted,1240,90,1330
review_000525,1,524,accepted,1210,90,1300
review_000526,1,525,accepted,1248,495,1743
review_000527,1,526,accepted,1233,90,1323
review_000528,1,527,accepted,1277,90,1367
review_000529,1,528,accepted,1306,196,1502
review_000530,1,529,accepted,1246,275,1521
review_000531,1,530,accepted,1202,88,1290
review_000532,1,531,accepted,1260,255,1515
review_000533,1,533,accepted,1264,90,1354
review_000534,1,532,accepted,1324,217,1541
review_000535,1,534,accepted,1213,90,1303
review_000536,1,535,accepted,1215,92,1307
review_000537,1,536,accepted,1219,88,1307
review_000538,1,537,accepted,1216,87,1303
review_000539,1,538,accepted,1258,103,1361
review_000540,1,539,accepted,1232,86,1318
review_000541,1,540,accepted,1211,87,1298
review_000542,1,541,accepted,1212,88,1300
review_000543,1,542,accepted,1239,241,1480
review_000544,1,543,accepted,1205,86,1291
review_000545,1,544,accepted,1212,91,1303
review_000546,1,545,accepted,1215,84,1299
review_000547,1,546,accepted,1216,93,1309
review_000548,1,547,accepted,1250,90,1340
review_000549,1,548,accepted,1241,90,1331
review_000550,1,549,accepted,1267,159,1426
review_000551,1,550,accepted,1255,90,1345
review_000552,1,551,accepted,1278,90,1368
review_000553,1,552,accepted,1253,305,1558
review_000554,1,553,accepted,1211,86,1297
review_000555,1,554,accepted,1219,88,1307
review_000556,1,555,accepted,1273,90,1363
review_000557,1,556,accepted,1211,88,1299
review_000558,1,557,accepted,1230,95,1325
review_000559,1,558,accepted,1275,92,1367
review_000560,1,559,accepted,1242,90,1332
review_000561,1,560,accepted,1264,217,1481
review_000562,1,561,accepted,1221,85,1306
review_000563,1,562,accepted,1230,90,1320
review_000564,1,563,accepted,1233,88,1321
review_000565,1,564,accepted,1204,88,1292
review_000566,1,565,accepted,1253,90,1343
review_000567,1,566,accepted,1322,514,1836
review_000568,1,567,accepted,1261,90,1351
review_000569,1,568,accepted,1237,90,1327
review_000570,1,569,accepted,1236,90,1326
review_000571,1,570,accepted,1270,90,1360
review_000572,1,571,accepted,1217,86,1303
review_000573,1,572,accepted,1206,88,1294
review_000574,1,573,accepted,1205,103,1308
review_000575,1,574,accepted,1214,88,1302
review_000576,1,575,accepted,1246,90,1336
review_000577,1,576,accepted,1226,90,1316
review_000578,1,577,accepted,1222,88,1310
review_000579,1,578,accepted,1214,88,1302
review_000580,1,579,accepted,1271,90,1361
review_000581,1,580,accepted,1263,90,1353
review_000582,1,581,accepted,1255,351,1606
review_000583,1,582,accepted,1235,90,1325
review_000584,1,583,accepted,1259,90,1349
review_000585,1,584,accepted,1212,88,1300
review_000586,1,585,accepted,1213,89,1302
review_000587,1,586,accepted,1266,255,1521
review_000588,1,587,accepted,1216,89,1305
review_000589,1,588,accepted,1240,91,1331
review_000590,1,589,accepted,1250,88,1338
review_000591,1,590,accepted,1210,90,1300
review_000592,1,591,accepted,1216,87,1303
review_000593,1,592,accepted,1208,86,1294
review_000594,1,593,accepted,1209,89,1298
review_000595,1,594,accepted,1209,87,1296
review_000596,1,595,accepted,1212,86,1298
review_000597,1,596,accepted,1216,90,1306
review_000598,1,597,accepted,1215,86,1301
review_000599,1,598,accepted,1226,90,1316
review_000600,1,599,accepted,1260,189,1449
review_000601,1,600,accepted,1239,88,1327
review_000602,1,601,accepted,1287,90,1377
review_000603,1,602,accepted,1243,165,1408
review_000604,1,603,accepted,1211,85,1296
review_000605,1,604,accepted,1263,88,1351
review_000606,1,605,accepted,1224,86,1310
review_000607,1,606,accepted,1273,90,1363
review_000608,1,607,accepted,1269,90,1359
review_000609,1,608,accepted,1238,90,1328
review_000610,1,609,accepted,1257,631,1888
review_000611,1,610,accepted,1261,90,1351
review_000612,1,611,accepted,1248,90,1338
review_000613,1,612,accepted,1246,179,1425
review_000614,1,613,accepted,1230,90,1320
review_000615,1,614,accepted,1210,88,1298
review_000616,1,615,accepted,1309,88,1397
review_000617,1,616,accepted,1228,90,1318
review_000618,1,617,accepted,1263,88,1351
review_000619,1,618,accepted,1249,90,1339
review_000620,1,619,accepted,1244,90,1334
review_000621,1,620,accepted,1251,194,1445
review_000622,1,621,accepted,1217,86,1303
review_000623,1,622,accepted,1212,86,1298
review_000624,1,623,accepted,1213,88,1301
review_000625,1,624,accepted,1232,148,1380
review_000626,1,625,accepted,1211,89,1300
review_000627,1,626,accepted,1201,88,1289
review_000628,1,627,accepted,1250,90,1340
review_000629,1,628,accepted,1237,180,1417
review_000630,1,629,accepted,1287,497,1784
review_000631,1,630,accepted,1200,88,1288
review_000632,1,631,accepted,1241,90,1331
review_000633,1,632,accepted,1311,90,1401
review_000634,1,633,accepted,1302,412,1714
review_000635,1,634,accepted,1216,90,1306
review_000636,1,635,accepted,1212,90,1302
review_000637,1,636,accepted,1215,86,1301
review_000638,1,637,accepted,1211,91,1302
review_000639,1,638,accepted,1210,90,1300
review_000640,1,639,accepted,1213,85,1298
review_000641,1,640,accepted,1216,93,1309
review_000642,1,641,accepted,1213,88,1301
review_000643,1,642,accepted,1224,86,1310
review_000644,1,643,accepted,1208,86,1294
review_000645,1,644,accepted,1218,87,1305
review_000646,1,645,accepted,1213,92,1305
review_000647,1,646,accepted,1212,88,1300
review_000648,1,647,accepted,1238,90,1328
review_000649,1,648,accepted,1254,121,1375
review_000650,1,649,accepted,1262,235,1497
review_000651,1,650,accepted,1861,431,2292
review_000652,1,651,accepted,1271,89,1360
review_000653,1,652,accepted,1683,125,1808
review_000654,1,653,accepted,1221,88,1309
review_000655,1,654,accepted,1219,88,1307
review_000656,1,655,accepted,1433,116,1549
review_000657,1,656,accepted,1254,89,1343
review_000658,1,657,accepted,1226,80,1306
review_000659,1,658,accepted,1244,88,1332
review_000660,1,659,accepted,1224,88,1312
review_000661,1,660,accepted,1234,88,1322
review_000662,1,661,accepted,1241,90,1331
review_000663,1,662,accepted,1570,87,1657
