core50_index,dataset_name,dataset_dir,family,subgroup,basename,target_name,feature_count,train_samples,valid_samples,id_test_samples,ood_test_samples,metadata_yaml,train_csv,valid_csv,id_test_csv,ood_test_csv,formula_py,core50_standalone_dataset_dir,original_dataset_dir
11,Vladislavleva-4,core-50/vladislavleva/Vladislavleva-4,vladislavleva,Vladislavleva-4,Vladislavleva-4,target,5,820,102,102,5000,core-50/vladislavleva/Vladislavleva-4/metadata.yaml,core-50/vladislavleva/Vladislavleva-4/train.csv,core-50/vladislavleva/Vladislavleva-4/valid.csv,core-50/vladislavleva/Vladislavleva-4/id_test.csv,core-50/vladislavleva/Vladislavleva-4/ood_test.csv,core-50/vladislavleva/Vladislavleva-4/formula.py,core-50/vladislavleva/Vladislavleva-4,sim-datasets-data/vladislavleva/Vladislavleva-4
12,feynman_I_27_6,core-50/srbench1.0/feynman/feynman_I_27_6,srbench1.0,feynman,feynman_I_27_6,target,3,80000,10000,10000,10000,core-50/srbench1.0/feynman/feynman_I_27_6/metadata.yaml,core-50/srbench1.0/feynman/feynman_I_27_6/train.csv,core-50/srbench1.0/feynman/feynman_I_27_6/valid.csv,core-50/srbench1.0/feynman/feynman_I_27_6/id_test.csv,core-50/srbench1.0/feynman/feynman_I_27_6/ood_test.csv,core-50/srbench1.0/feynman/feynman_I_27_6/formula.py,core-50/srbench1.0/feynman/feynman_I_27_6,sim-datasets-data/srbench1.0/feynman/feynman_I_27_6
13,feynman-i.43.31,core-50/srsd/srsd-feynman_medium/feynman-i.43.31,srsd,srsd-feynman_medium,feynman-i.43.31,y,2,8000,1000,1000,1000,core-50/srsd/srsd-feynman_medium/feynman-i.43.31/metadata.yaml,core-50/srsd/srsd-feynman_medium/feynman-i.43.31/train.csv,core-50/srsd/srsd-feynman_medium/feynman-i.43.31/valid.csv,core-50/srsd/srsd-feynman_medium/feynman-i.43.31/id_test.csv,core-50/srsd/srsd-feynman_medium/feynman-i.43.31/ood_test.csv,core-50/srsd/srsd-feynman_medium/feynman-i.43.31/formula.py,core-50/srsd/srsd-feynman_medium/feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31
14,feynman-ii.34.11,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11,srsd,srsd-feynman_easy_dummy,feynman-ii.34.11,y,7,8000,1000,1000,1000,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11/metadata.yaml,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11/train.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11/valid.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11/id_test.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11/ood_test.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11/formula.py,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11
15,III.21.20_3_0,core-50/llm-srbench/lsrtransform/III.21.20_3_0,llm-srbench,lsrtransform,III.21.20_3_0,m,4,75000,5000,20000,20000,core-50/llm-srbench/lsrtransform/III.21.20_3_0/metadata.yaml,core-50/llm-srbench/lsrtransform/III.21.20_3_0/train.csv,core-50/llm-srbench/lsrtransform/III.21.20_3_0/valid.csv,core-50/llm-srbench/lsrtransform/III.21.20_3_0/id_test.csv,core-50/llm-srbench/lsrtransform/III.21.20_3_0/ood_test.csv,core-50/llm-srbench/lsrtransform/III.21.20_3_0/formula.py,core-50/llm-srbench/lsrtransform/III.21.20_3_0,sim-datasets-data/llm-srbench/lsrtransform/III.21.20_3_0
16,feynman_II_15_4,core-50/srbench1.0/feynman/feynman_II_15_4,srbench1.0,feynman,feynman_II_15_4,target,3,64000,8000,8000,10000,core-50/srbench1.0/feynman/feynman_II_15_4/metadata.yaml,core-50/srbench1.0/feynman/feynman_II_15_4/train.csv,core-50/srbench1.0/feynman/feynman_II_15_4/valid.csv,core-50/srbench1.0/feynman/feynman_II_15_4/id_test.csv,core-50/srbench1.0/feynman/feynman_II_15_4/ood_test.csv,core-50/srbench1.0/feynman/feynman_II_15_4/formula.py,core-50/srbench1.0/feynman/feynman_II_15_4,sim-datasets-data/srbench1.0/feynman/feynman_II_15_4
17,strogatz_shearflow1,core-50/srbench1.0/strogatz/strogatz_shearflow1,srbench1.0,strogatz,strogatz_shearflow1,target,2,256,32,32,1000,core-50/srbench1.0/strogatz/strogatz_shearflow1/metadata.yaml,core-50/srbench1.0/strogatz/strogatz_shearflow1/train.csv,core-50/srbench1.0/strogatz/strogatz_shearflow1/valid.csv,core-50/srbench1.0/strogatz/strogatz_shearflow1/id_test.csv,core-50/srbench1.0/strogatz/strogatz_shearflow1/ood_test.csv,core-50/srbench1.0/strogatz/strogatz_shearflow1/formula.py,core-50/srbench1.0/strogatz/strogatz_shearflow1,sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow1
18,feynman-i.18.16,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16,srsd,srsd-feynman_easy_dummy,feynman-i.18.16,y,6,8000,1000,1000,1000,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16/metadata.yaml,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16/train.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16/valid.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16/id_test.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16/ood_test.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16/formula.py,core-50/srsd/srsd-feynman_easy_dummy/feynman-i.18.16,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.16
19,feynman-ii.34.2a,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a,srsd,srsd-feynman_medium_dummy,feynman-ii.34.2a,y,5,8000,1000,1000,1000,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a/metadata.yaml,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a/train.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a/valid.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a/id_test.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a/ood_test.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a/formula.py,core-50/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a
20,first_principles_leavitt,core-50/srbench2025/firstprinciples/first_principles_leavitt,srbench2025,firstprinciples,first_principles_leavitt,target,1,19,2,2,3,core-50/srbench2025/firstprinciples/first_principles_leavitt/metadata.yaml,core-50/srbench2025/firstprinciples/first_principles_leavitt/train.csv,core-50/srbench2025/firstprinciples/first_principles_leavitt/valid.csv,core-50/srbench2025/firstprinciples/first_principles_leavitt/id_test.csv,core-50/srbench2025/firstprinciples/first_principles_leavitt/ood_test.csv,core-50/srbench2025/firstprinciples/first_principles_leavitt/formula.py,core-50/srbench2025/firstprinciples/first_principles_leavitt,sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt
21,feynman-i.39.22,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22,srsd,srsd-feynman_hard_dummy,feynman-i.39.22,y,5,8000,1000,1000,1000,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22/metadata.yaml,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22/train.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22/valid.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22/id_test.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22/ood_test.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22/formula.py,core-50/srsd/srsd-feynman_hard_dummy/feynman-i.39.22,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.39.22
22,feynman-i.11.19,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19,srsd,srsd-feynman_medium_dummy,feynman-i.11.19,y,8,8000,1000,1000,1000,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/metadata.yaml,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/train.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/valid.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/id_test.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/ood_test.csv,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/formula.py,core-50/srsd/srsd-feynman_medium_dummy/feynman-i.11.19,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19
23,I.11.19_4_0,core-50/llm-srbench/lsrtransform/I.11.19_4_0,llm-srbench,lsrtransform,I.11.19_4_0,y2,6,75000,5000,20000,20000,core-50/llm-srbench/lsrtransform/I.11.19_4_0/metadata.yaml,core-50/llm-srbench/lsrtransform/I.11.19_4_0/train.csv,core-50/llm-srbench/lsrtransform/I.11.19_4_0/valid.csv,core-50/llm-srbench/lsrtransform/I.11.19_4_0/id_test.csv,core-50/llm-srbench/lsrtransform/I.11.19_4_0/ood_test.csv,core-50/llm-srbench/lsrtransform/I.11.19_4_0/formula.py,core-50/llm-srbench/lsrtransform/I.11.19_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0
24,strogatz_predprey2,core-50/srbench1.0/strogatz/strogatz_predprey2,srbench1.0,strogatz,strogatz_predprey2,target,2,256,32,32,1000,core-50/srbench1.0/strogatz/strogatz_predprey2/metadata.yaml,core-50/srbench1.0/strogatz/strogatz_predprey2/train.csv,core-50/srbench1.0/strogatz/strogatz_predprey2/valid.csv,core-50/srbench1.0/strogatz/strogatz_predprey2/id_test.csv,core-50/srbench1.0/strogatz/strogatz_predprey2/ood_test.csv,core-50/srbench1.0/strogatz/strogatz_predprey2/formula.py,core-50/srbench1.0/strogatz/strogatz_predprey2,sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2
25,strogatz_barmag2,core-50/srbench1.0/strogatz/strogatz_barmag2,srbench1.0,strogatz,strogatz_barmag2,target,2,256,32,32,1000,core-50/srbench1.0/strogatz/strogatz_barmag2/metadata.yaml,core-50/srbench1.0/strogatz/strogatz_barmag2/train.csv,core-50/srbench1.0/strogatz/strogatz_barmag2/valid.csv,core-50/srbench1.0/strogatz/strogatz_barmag2/id_test.csv,core-50/srbench1.0/strogatz/strogatz_barmag2/ood_test.csv,core-50/srbench1.0/strogatz/strogatz_barmag2/formula.py,core-50/srbench1.0/strogatz/strogatz_barmag2,sim-datasets-data/srbench1.0/strogatz/strogatz_barmag2
26,strogatz_barmag1,core-50/srbench1.0/strogatz/strogatz_barmag1,srbench1.0,strogatz,strogatz_barmag1,target,2,256,32,32,1000,core-50/srbench1.0/strogatz/strogatz_barmag1/metadata.yaml,core-50/srbench1.0/strogatz/strogatz_barmag1/train.csv,core-50/srbench1.0/strogatz/strogatz_barmag1/valid.csv,core-50/srbench1.0/strogatz/strogatz_barmag1/id_test.csv,core-50/srbench1.0/strogatz/strogatz_barmag1/ood_test.csv,core-50/srbench1.0/strogatz/strogatz_barmag1/formula.py,core-50/srbench1.0/strogatz/strogatz_barmag1,sim-datasets-data/srbench1.0/strogatz/strogatz_barmag1
27,feynman_I_12_11,core-50/srbench1.0/feynman/feynman_I_12_11,srbench1.0,feynman,feynman_I_12_11,target,5,64000,8000,8000,10000,core-50/srbench1.0/feynman/feynman_I_12_11/metadata.yaml,core-50/srbench1.0/feynman/feynman_I_12_11/train.csv,core-50/srbench1.0/feynman/feynman_I_12_11/valid.csv,core-50/srbench1.0/feynman/feynman_I_12_11/id_test.csv,core-50/srbench1.0/feynman/feynman_I_12_11/ood_test.csv,core-50/srbench1.0/feynman/feynman_I_12_11/formula.py,core-50/srbench1.0/feynman/feynman_I_12_11,sim-datasets-data/srbench1.0/feynman/feynman_I_12_11
28,feynman-ii.4.23,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23,srsd,srsd-feynman_easy,feynman-ii.4.23,y,2,8000,1000,1000,1000,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23/metadata.yaml,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23/train.csv,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23/valid.csv,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23/id_test.csv,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23/ood_test.csv,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23/formula.py,core-50/srsd/srsd-feynman_easy/feynman-ii.4.23,sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.4.23
29,strogatz_vdp1,core-50/srbench1.0/strogatz/strogatz_vdp1,srbench1.0,strogatz,strogatz_vdp1,target,2,256,32,32,1000,core-50/srbench1.0/strogatz/strogatz_vdp1/metadata.yaml,core-50/srbench1.0/strogatz/strogatz_vdp1/train.csv,core-50/srbench1.0/strogatz/strogatz_vdp1/valid.csv,core-50/srbench1.0/strogatz/strogatz_vdp1/id_test.csv,core-50/srbench1.0/strogatz/strogatz_vdp1/ood_test.csv,core-50/srbench1.0/strogatz/strogatz_vdp1/formula.py,core-50/srbench1.0/strogatz/strogatz_vdp1,sim-datasets-data/srbench1.0/strogatz/strogatz_vdp1
30,feynman-iii.7.38,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38,srsd,srsd-feynman_easy,feynman-iii.7.38,y,2,8000,1000,1000,1000,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38/metadata.yaml,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38/train.csv,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38/valid.csv,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38/id_test.csv,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38/ood_test.csv,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38/formula.py,core-50/srsd/srsd-feynman_easy/feynman-iii.7.38,sim-datasets-data/srsd/srsd-feynman_easy/feynman-iii.7.38
31,II.11.27_1_0,core-50/llm-srbench/lsrtransform/II.11.27_1_0,llm-srbench,lsrtransform,II.11.27_1_0,alpha,4,75000,5000,20000,20000,core-50/llm-srbench/lsrtransform/II.11.27_1_0/metadata.yaml,core-50/llm-srbench/lsrtransform/II.11.27_1_0/train.csv,core-50/llm-srbench/lsrtransform/II.11.27_1_0/valid.csv,core-50/llm-srbench/lsrtransform/II.11.27_1_0/id_test.csv,core-50/llm-srbench/lsrtransform/II.11.27_1_0/ood_test.csv,core-50/llm-srbench/lsrtransform/II.11.27_1_0/formula.py,core-50/llm-srbench/lsrtransform/II.11.27_1_0,sim-datasets-data/llm-srbench/lsrtransform/II.11.27_1_0
32,feynman-i.13.12,core-50/srsd/srsd-feynman_medium/feynman-i.13.12,srsd,srsd-feynman_medium,feynman-i.13.12,y,4,8000,1000,1000,1000,core-50/srsd/srsd-feynman_medium/feynman-i.13.12/metadata.yaml,core-50/srsd/srsd-feynman_medium/feynman-i.13.12/train.csv,core-50/srsd/srsd-feynman_medium/feynman-i.13.12/valid.csv,core-50/srsd/srsd-feynman_medium/feynman-i.13.12/id_test.csv,core-50/srsd/srsd-feynman_medium/feynman-i.13.12/ood_test.csv,core-50/srsd/srsd-feynman_medium/feynman-i.13.12/formula.py,core-50/srsd/srsd-feynman_medium/feynman-i.13.12,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.13.12
33,feynman-iii.10.19,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19,srsd,srsd-feynman_hard_dummy,feynman-iii.10.19,y,6,8000,1000,1000,1000,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19/metadata.yaml,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19/train.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19/valid.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19/id_test.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19/ood_test.csv,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19/formula.py,core-50/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19
34,CRK11,core-50/llm-srbench/chem_react/CRK11,llm-srbench,chem_react,CRK11,dA_dt,2,3500,500,500,500,core-50/llm-srbench/chem_react/CRK11/metadata.yaml,core-50/llm-srbench/chem_react/CRK11/train.csv,core-50/llm-srbench/chem_react/CRK11/valid.csv,core-50/llm-srbench/chem_react/CRK11/id_test.csv,core-50/llm-srbench/chem_react/CRK11/ood_test.csv,core-50/llm-srbench/chem_react/CRK11/formula.py,core-50/llm-srbench/chem_react/CRK11,sim-datasets-data/llm-srbench/chem_react/CRK11
35,feynman-i.32.5,core-50/srsd/srsd-feynman_medium/feynman-i.32.5,srsd,srsd-feynman_medium,feynman-i.32.5,y,2,8000,1000,1000,1000,core-50/srsd/srsd-feynman_medium/feynman-i.32.5/metadata.yaml,core-50/srsd/srsd-feynman_medium/feynman-i.32.5/train.csv,core-50/srsd/srsd-feynman_medium/feynman-i.32.5/valid.csv,core-50/srsd/srsd-feynman_medium/feynman-i.32.5/id_test.csv,core-50/srsd/srsd-feynman_medium/feynman-i.32.5/ood_test.csv,core-50/srsd/srsd-feynman_medium/feynman-i.32.5/formula.py,core-50/srsd/srsd-feynman_medium/feynman-i.32.5,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.32.5
36,CRK10,core-50/llm-srbench/chem_react/CRK10,llm-srbench,chem_react,CRK10,dA_dt,2,3500,500,500,500,core-50/llm-srbench/chem_react/CRK10/metadata.yaml,core-50/llm-srbench/chem_react/CRK10/train.csv,core-50/llm-srbench/chem_react/CRK10/valid.csv,core-50/llm-srbench/chem_react/CRK10/id_test.csv,core-50/llm-srbench/chem_react/CRK10/ood_test.csv,core-50/llm-srbench/chem_react/CRK10/formula.py,core-50/llm-srbench/chem_react/CRK10,sim-datasets-data/llm-srbench/chem_react/CRK10
37,CRK34,core-50/llm-srbench/chem_react/CRK34,llm-srbench,chem_react,CRK34,dA_dt,2,3500,500,500,500,core-50/llm-srbench/chem_react/CRK34/metadata.yaml,core-50/llm-srbench/chem_react/CRK34/train.csv,core-50/llm-srbench/chem_react/CRK34/valid.csv,core-50/llm-srbench/chem_react/CRK34/id_test.csv,core-50/llm-srbench/chem_react/CRK34/ood_test.csv,core-50/llm-srbench/chem_react/CRK34/formula.py,core-50/llm-srbench/chem_react/CRK34,sim-datasets-data/llm-srbench/chem_react/CRK34
38,PO19,core-50/llm-srbench/phys_osc/PO19,llm-srbench,phys_osc,PO19,dv_dt,3,3500,500,500,500,core-50/llm-srbench/phys_osc/PO19/metadata.yaml,core-50/llm-srbench/phys_osc/PO19/train.csv,core-50/llm-srbench/phys_osc/PO19/valid.csv,core-50/llm-srbench/phys_osc/PO19/id_test.csv,core-50/llm-srbench/phys_osc/PO19/ood_test.csv,core-50/llm-srbench/phys_osc/PO19/formula.py,core-50/llm-srbench/phys_osc/PO19,sim-datasets-data/llm-srbench/phys_osc/PO19
39,CRK0,core-50/llm-srbench/chem_react/CRK0,llm-srbench,chem_react,CRK0,dA_dt,2,3500,500,500,500,core-50/llm-srbench/chem_react/CRK0/metadata.yaml,core-50/llm-srbench/chem_react/CRK0/train.csv,core-50/llm-srbench/chem_react/CRK0/valid.csv,core-50/llm-srbench/chem_react/CRK0/id_test.csv,core-50/llm-srbench/chem_react/CRK0/ood_test.csv,core-50/llm-srbench/chem_react/CRK0/formula.py,core-50/llm-srbench/chem_react/CRK0,sim-datasets-data/llm-srbench/chem_react/CRK0
40,feynman-i.29.16,core-50/srsd/srsd-feynman_hard/feynman-i.29.16,srsd,srsd-feynman_hard,feynman-i.29.16,y,4,8000,1000,1000,1000,core-50/srsd/srsd-feynman_hard/feynman-i.29.16/metadata.yaml,core-50/srsd/srsd-feynman_hard/feynman-i.29.16/train.csv,core-50/srsd/srsd-feynman_hard/feynman-i.29.16/valid.csv,core-50/srsd/srsd-feynman_hard/feynman-i.29.16/id_test.csv,core-50/srsd/srsd-feynman_hard/feynman-i.29.16/ood_test.csv,core-50/srsd/srsd-feynman_hard/feynman-i.29.16/formula.py,core-50/srsd/srsd-feynman_hard/feynman-i.29.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.29.16
41,PO41,core-50/llm-srbench/phys_osc/PO41,llm-srbench,phys_osc,PO41,dv_dt,3,3500,500,500,500,core-50/llm-srbench/phys_osc/PO41/metadata.yaml,core-50/llm-srbench/phys_osc/PO41/train.csv,core-50/llm-srbench/phys_osc/PO41/valid.csv,core-50/llm-srbench/phys_osc/PO41/id_test.csv,core-50/llm-srbench/phys_osc/PO41/ood_test.csv,core-50/llm-srbench/phys_osc/PO41/formula.py,core-50/llm-srbench/phys_osc/PO41,sim-datasets-data/llm-srbench/phys_osc/PO41
42,feynman_test_15,core-50/srbench1.0/feynman/feynman_test_15,srbench1.0,feynman,feynman_test_15,target,4,80000,10000,10000,10000,core-50/srbench1.0/feynman/feynman_test_15/metadata.yaml,core-50/srbench1.0/feynman/feynman_test_15/train.csv,core-50/srbench1.0/feynman/feynman_test_15/valid.csv,core-50/srbench1.0/feynman/feynman_test_15/id_test.csv,core-50/srbench1.0/feynman/feynman_test_15/ood_test.csv,core-50/srbench1.0/feynman/feynman_test_15/formula.py,core-50/srbench1.0/feynman/feynman_test_15,sim-datasets-data/srbench1.0/feynman/feynman_test_15
43,CRK33,core-50/llm-srbench/chem_react/CRK33,llm-srbench,chem_react,CRK33,dA_dt,2,3500,500,500,500,core-50/llm-srbench/chem_react/CRK33/metadata.yaml,core-50/llm-srbench/chem_react/CRK33/train.csv,core-50/llm-srbench/chem_react/CRK33/valid.csv,core-50/llm-srbench/chem_react/CRK33/id_test.csv,core-50/llm-srbench/chem_react/CRK33/ood_test.csv,core-50/llm-srbench/chem_react/CRK33/formula.py,core-50/llm-srbench/chem_react/CRK33,sim-datasets-data/llm-srbench/chem_react/CRK33
