algorithm,family,rows,finite_id_ood_rate,id_ood_explosion_rate_gt_100,median_combined_log_id_ood_nmse,iqr_combined_log_id_ood_nmse
pyoperon,korns,9,1.0,0.0,-0.650270526425738,2.3396843349100513
pyoperon,llm-srbench,70,0.9428571428571428,0.05714285714285714,-0.8292663013603987,1.6866816073763766
pyoperon,nguyen,6,1.0,0.0,-2.7374697537577877,1.5226294683351567
pyoperon,srbench1.0,33,1.0,0.0,-0.6017529584205006,0.8091571135587827
pyoperon,srbench2025,6,1.0,0.0,-3.1275756435763045,1.9628780700077888
pyoperon,srsd,70,0.9857142857142858,0.04285714285714286,-0.014035131390453452,0.25771577764611675
pysr,keijzer,6,0.8333333333333334,0.0,-12.0,0.6164915894223917
pysr,korns,9,1.0,0.1111111111111111,-0.05738373331554572,1.2878511344250216
pysr,llm-srbench,70,0.9714285714285714,0.2714285714285714,-1.9168658326002097,11.382047648070825
pysr,nguyen,6,1.0,0.0,-12.0,4.068229936017594
pysr,srbench1.0,33,1.0,0.0,-12.0,0.5362465328450785
pysr,srbench2025,6,1.0,0.0,-3.565158695278689,1.7596847697730746
pysr,srsd,70,1.0,0.3,-0.0608920146017624,14.58327801267523
qlattice,keijzer,6,1.0,0.16666666666666666,-2.2872308773057157,2.8916053720481787
qlattice,korns,9,0.8888888888888888,0.0,-1.087079541971506,3.639031889936542
qlattice,llm-srbench,70,0.9428571428571428,0.014285714285714285,-1.9202153435773117,1.8792329091289413
qlattice,nguyen,6,1.0,0.0,-4.165021986941685,2.1622197598473445
qlattice,srbench1.0,33,1.0,0.0,-2.3592301856123283,1.17648887241701
qlattice,srbench2025,6,1.0,0.16666666666666666,-2.5022443259607274,2.579680746684609
qlattice,srsd,70,0.9285714285714286,0.04285714285714286,-0.44576502328553613,1.5363165688681049
ragsr,keijzer,6,1.0,0.0,0.3753271831827175,0.7561395191154437
ragsr,korns,9,1.0,0.4444444444444444,1.110413831267565,3.257254619828593
ragsr,llm-srbench,70,0.8714285714285714,0.7,3.4923519727753014,3.6633062606086666
ragsr,nguyen,6,0.8333333333333334,0.0,-1.381818837467439,1.755531142476892
ragsr,srbench1.0,33,0.696969696969697,0.45454545454545453,3.0876538365148676,2.5793360489381536
ragsr,srbench2025,6,0.8333333333333334,0.5,6.319219026004561,12.794743519005015
ragsr,srsd,70,0.9714285714285714,0.6571428571428571,8.517860667320157,11.650088410596876
tpsr,keijzer,6,1.0,0.0,-0.2364170718292166,0.9949636005964815
tpsr,korns,9,1.0,0.0,-0.534661714728042,0.5393076215591113
tpsr,llm-srbench,70,1.0,0.32857142857142857,-0.00032643284590636745,1.8692955848803023
tpsr,nguyen,6,1.0,0.0,-2.4193745330868035,0.9016307198600151
tpsr,srbench1.0,33,1.0,0.0,-0.4886132398383046,0.7579725039783148
tpsr,srbench2025,6,1.0,0.0,-1.9379928635236594,1.2326373807780122
tpsr,srsd,70,0.9285714285714286,0.38571428571428573,0.00013513217365304693,12.020183226334426
udsr,keijzer,6,0.8333333333333334,0.0,-1.2270840824058484,11.37515849787034
udsr,korns,9,0.8888888888888888,0.0,-5.97791701758026,12.070403289781769
udsr,llm-srbench,70,1.0,0.0,-5.336334692771025,4.7054543379168745
udsr,nguyen,6,1.0,0.0,-8.983514997767966,6.4773359806354955
udsr,srbench1.0,33,1.0,0.0,-4.923972446994381,8.851370361439157
udsr,srbench2025,6,1.0,0.0,-2.453095822919571,2.7569588892237538
udsr,srsd,70,1.0,0.04285714285714286,-0.19269607987970389,4.006941588183946
