combo,combo_score_nmse_only,mean_operational_stability,mean_discrimination,mean_pairwise_complementarity,mean_family_subgroup_coverage,mean_baseline_quality,mean_finite_id_ood_rate,taxonomy_diversity_score,taxonomy_redundancy_penalty,practical_cost_score_neutral_due_to_missing_runtime,taxonomies
gplearn;imcts;qlattice;ragsr,0.709640412768619,0.95625,0.4646352103431271,0.7328787265501818,0.8184873949579832,0.5038911756887581,0.95625,1.0,0.0,0.5,classic_gp;mcts;graph_hybrid;rag_hybrid
gplearn;pyoperon;pysr;udsr,0.7092117786631255,0.9824999999999999,0.5355785688877541,0.5999634472532082,0.9063025210084034,0.5795393606447347,0.9875,0.75,0.0,0.5,classic_gp;evolutionary_gp;evolutionary_gp;rl_hybrid
dso;gplearn;ragsr;tpsr,0.708670719007287,0.9625,0.48527022973738476,0.6825906479374931,0.8516806722689075,0.48129774522724256,0.9625,1.0,0.0,0.5,rl_policy;classic_gp;rag_hybrid;pretrained_neural
e2esr;imcts;ragsr;tpsr,0.7079369964354677,0.88625,0.5663128245526677,0.7724044468290583,0.7403361344537815,0.49658234388671196,0.88625,0.75,0.0,0.5,pretrained_neural;mcts;rag_hybrid;pretrained_neural
gplearn;imcts;pyoperon;ragsr,0.707579085532297,0.9605,0.4521826237926159,0.7169006760749635,0.8516806722689075,0.49244057070870395,0.9625,1.0,0.0,0.5,classic_gp;mcts;evolutionary_gp;rag_hybrid
imcts;pyoperon;ragsr;tpsr,0.7061371178044035,0.95425,0.46081310093691796,0.7120260209279521,0.8457983193277311,0.4850886878436071,0.95625,1.0,0.0,0.5,mcts;evolutionary_gp;rag_hybrid;pretrained_neural
e2esr;pysr;qlattice;udsr,0.7055508460569666,0.9019999999999999,0.5962495710540453,0.6263551324986223,0.7617647058823529,0.6004497146748886,0.905,1.0,0.0,0.5,pretrained_neural;evolutionary_gp;graph_hybrid;rl_hybrid
dso;gplearn;pysr;qlattice,0.705211308647767,0.97825,0.5155735898275294,0.5700846739370825,0.9004201680672268,0.5618507601030707,0.98125,1.0,0.0,0.5,rl_policy;classic_gp;evolutionary_gp;graph_hybrid
dso;imcts;pyoperon;pysr,0.704372195475508,0.98,0.5446210363167425,0.5766500439731286,0.9063025210084034,0.5575599087188514,0.985,0.75,0.0,0.5,rl_policy;mcts;evolutionary_gp;evolutionary_gp
e2esr;gplearn;ragsr;udsr,0.7039785824580556,0.8925,0.5573157338195986,0.7178411949007462,0.7189075630252101,0.5272485826641573,0.8925,1.0,0.0,0.5,pretrained_neural;classic_gp;rag_hybrid;rl_hybrid
dso;e2esr;imcts;ragsr,0.7032550675984499,0.89,0.566358201248587,0.7109920649327137,0.7189075630252101,0.5052691307382741,0.89,1.0,0.0,0.5,rl_policy;pretrained_neural;mcts;rag_hybrid
e2esr;imcts;pyoperon;pysr,0.7026981465697718,0.90625,0.5841635980923012,0.6450479732740135,0.8222689075630252,0.565684753782486,0.91125,0.75,0.0,0.5,pretrained_neural;mcts;evolutionary_gp;evolutionary_gp
gplearn;qlattice;ragsr;udsr,0.7026681859300943,0.95625,0.46426859675436005,0.7171534389419824,0.7911764705882353,0.5272055316011066,0.95625,1.0,0.0,0.5,classic_gp;graph_hybrid;rag_hybrid;rl_hybrid
gplearn;pysr;qlattice;tpsr,0.702650400761338,0.9744999999999999,0.5155282131316101,0.5525257089396385,0.9218487394957983,0.5531639732515086,0.9775,1.0,0.0,0.5,classic_gp;evolutionary_gp;graph_hybrid;pretrained_neural
dso;e2esr;ragsr;udsr,0.7012666104124385,0.89,0.5659915876598199,0.715201855934568,0.6915966386554622,0.5285834866506226,0.89,1.0,0.0,0.5,rl_policy;pretrained_neural;rag_hybrid;rl_hybrid
e2esr;imcts;qlattice;ragsr,0.700390111011685,0.88,0.5128536259589072,0.7791801936625653,0.7071428571428571,0.5133509247388579,0.88,1.0,0.0,0.5,pretrained_neural;mcts;graph_hybrid;rag_hybrid
dso;e2esr;gplearn;pysr,0.7002367513068793,0.9145,0.608620726892768,0.5456326144204502,0.8281512605042016,0.5618938111661214,0.9175,1.0,0.0,0.5,rl_policy;pretrained_neural;classic_gp;evolutionary_gp
dso;qlattice;ragsr;udsr,0.6997682151419383,0.95375,0.47294445059458134,0.7137621050056487,0.7638655462184873,0.5285404355875719,0.95375,1.0,0.0,0.5,rl_policy;graph_hybrid;rag_hybrid;rl_hybrid
dso;imcts;qlattice;ragsr,0.6991236585046167,0.95375,0.47331106418334845,0.6990202587104627,0.7911764705882353,0.5052260796752234,0.95375,1.0,0.0,0.5,rl_policy;mcts;graph_hybrid;rag_hybrid
gplearn;pyoperon;ragsr;udsr,0.6983121603041715,0.9605,0.4518160102038488,0.6919965949083612,0.8243697478991596,0.5157549266210525,0.9625,1.0,0.0,0.5,classic_gp;evolutionary_gp;rag_hybrid;rl_hybrid
e2esr;ragsr;tpsr;udsr,0.6974812803061186,0.88625,0.5659462109639006,0.7427452020575613,0.7130252100840336,0.5198966997990605,0.88625,0.75,0.0,0.5,pretrained_neural;rag_hybrid;pretrained_neural;rl_hybrid
dso;imcts;tpsr;udsr,0.6968108674102123,0.98625,0.5075895932827201,0.5485885112637439,0.8848739495798319,0.5618653834497085,0.98625,1.0,0.0,0.5,rl_policy;mcts;pretrained_neural;rl_hybrid
imcts;pyoperon;pysr;qlattice,0.6967758146711083,0.97,0.49111646102706263,0.6259124758324407,0.8945378151260504,0.5656417027194353,0.975,0.75,0.0,0.5,mcts;evolutionary_gp;evolutionary_gp;graph_hybrid
dso;e2esr;pysr;tpsr,0.6963763207676144,0.90825,0.61725120403707,0.5810841080279534,0.8222689075630252,0.5545419283010246,0.91125,0.75,0.0,0.5,rl_policy;pretrained_neural;evolutionary_gp;pretrained_neural
e2esr;imcts;pyoperon;ragsr,0.6962966951417068,0.88425,0.5004010394083959,0.7550737886527222,0.7403361344537815,0.5019003197588038,0.88625,1.0,0.0,0.5,pretrained_neural;mcts;evolutionary_gp;rag_hybrid
pyoperon;ragsr;tpsr;udsr,0.6960197171087865,0.95425,0.46044648734815086,0.683720037891384,0.8184873949579832,0.5084030437559556,0.95625,1.0,0.0,0.5,evolutionary_gp;rag_hybrid;pretrained_neural;rl_hybrid
imcts;qlattice;tpsr;udsr,0.695238343276018,0.97625,0.4540850179930402,0.6219463698038776,0.873109243697479,0.5699471774502923,0.97625,1.0,0.0,0.5,mcts;graph_hybrid;pretrained_neural;rl_hybrid
dso;pyoperon;pysr;tpsr,0.6951147619439262,0.97625,0.5117514804213202,0.5728589613563515,0.9277310924369748,0.5430482722579197,0.98125,0.75,0.0,0.5,rl_policy;evolutionary_gp;evolutionary_gp;pretrained_neural
e2esr;pyoperon;pysr;udsr,0.6949569393779556,0.90625,0.5837969845035341,0.6262467642526476,0.7949579831932774,0.5889991096948345,0.91125,0.75,0.0,0.5,pretrained_neural;evolutionary_gp;evolutionary_gp;rl_hybrid
dso;gplearn;pyoperon;pysr,0.6947703335266392,0.9824999999999999,0.5031210032770183,0.5705880319226406,0.9336134453781513,0.5504001551230165,0.9875,0.75,0.0,0.5,rl_policy;classic_gp;evolutionary_gp;evolutionary_gp
dso;e2esr;pysr;qlattice,0.6943887155534039,0.9019999999999999,0.5637920054433094,0.6100969756997491,0.7890756302521008,0.5713105091531705,0.905,1.0,0.0,0.5,rl_policy;pretrained_neural;evolutionary_gp;graph_hybrid
dso;qlattice;ragsr;tpsr,0.6932923737083421,0.95,0.44044150828792616,0.7089337710349146,0.8126050420168067,0.49071444321429164,0.95,1.0,0.0,0.5,rl_policy;graph_hybrid;rag_hybrid;pretrained_neural
gplearn;qlattice;ragsr;tpsr,0.6925168402697722,0.9525,0.43176565444770487,0.697623088064345,0.8399159663865546,0.4893795392278264,0.9525,1.0,0.0,0.5,classic_gp;graph_hybrid;rag_hybrid;pretrained_neural
pyoperon;pysr;qlattice;udsr,0.6916676213026249,0.97,0.4907498474382956,0.6176433221044066,0.8672268907563025,0.5889560586317838,0.975,0.75,0.0,0.5,evolutionary_gp;evolutionary_gp;graph_hybrid;rl_hybrid
dso;e2esr;gplearn;ragsr,0.6914002932748695,0.8925,0.5248581682088627,0.6959184033833801,0.746218487394958,0.4981093771424392,0.8925,1.0,0.0,0.5,rl_policy;pretrained_neural;classic_gp;rag_hybrid
dso;gplearn;qlattice;ragsr,0.6913303641250914,0.95625,0.4318110311436241,0.7001925169373486,0.8184873949579832,0.4980663260793885,0.95625,1.0,0.0,0.5,rl_policy;classic_gp;graph_hybrid;rag_hybrid
imcts;pyoperon;tpsr;udsr,0.6907719319293507,0.9804999999999999,0.441632431442529,0.5963479828872783,0.9063025210084034,0.5584965724702381,0.9824999999999999,1.0,0.0,0.5,mcts;evolutionary_gp;pretrained_neural;rl_hybrid
dso;imcts;pyoperon;ragsr,0.6898980474317804,0.958,0.4608584776328372,0.6543850728891873,0.8243697478991596,0.4937754746951692,0.96,1.0,0.0,0.5,rl_policy;mcts;evolutionary_gp;rag_hybrid
gplearn;pyoperon;pysr;tpsr,0.689737152692154,0.97875,0.503075626581099,0.5431399751329729,0.9550420168067226,0.5417133682714544,0.98375,0.75,0.0,0.5,classic_gp;evolutionary_gp;evolutionary_gp;pretrained_neural
dso;pyoperon;ragsr;udsr,0.6882479056795013,0.958,0.46049186404407016,0.6599481256259705,0.7970588235294118,0.5170898306075177,0.96,1.0,0.0,0.5,rl_policy;evolutionary_gp;rag_hybrid;rl_hybrid
e2esr;qlattice;ragsr;udsr,0.6867517722445264,0.88,0.51248701237014,0.7367904583398304,0.6798319327731093,0.5366652806512064,0.88,1.0,0.0,0.5,pretrained_neural;graph_hybrid;rag_hybrid;rl_hybrid
dso;gplearn;tpsr;udsr,0.6861662080271147,0.98875,0.46608956024299575,0.5383553094763414,0.9121848739495798,0.5547056298538735,0.98875,1.0,0.0,0.5,rl_policy;classic_gp;pretrained_neural;rl_hybrid
imcts;pyoperon;qlattice;ragsr,0.6853298767523773,0.948,0.4073539023431573,0.7157603452484856,0.8126050420168067,0.5018572686957531,0.95,1.0,0.0,0.5,mcts;evolutionary_gp;graph_hybrid;rag_hybrid
dso;gplearn;pyoperon;ragsr,0.6850951814233956,0.9605,0.41935844459311294,0.6675190446006355,0.8516806722689075,0.4866157210993343,0.9625,1.0,0.0,0.5,rl_policy;classic_gp;evolutionary_gp;rag_hybrid
e2esr;imcts;tpsr;udsr,0.6845926581408309,0.9125,0.5471321550582787,0.624809799110048,0.8008403361344538,0.569990228513343,0.9125,0.75,0.0,0.5,pretrained_neural;mcts;pretrained_neural;rl_hybrid
