core80_rank,dataset_id,dataset_name,dataset_rel,family,subgroup,metadata_class,basename,semantic_duplicate_group,formula_hash,feature_count,total_samples,operator_group,difficulty_bin,failure_mode,winner_probe,eligible_class,compatibility_score,selection_score_simple,info_score,discrimination_score,stability_score,in_previous_core,new_at_size
24,g0104,II.11.27_0_0,sim-datasets-data/llm-srbench/lsrtransform/II.11.27_0_0,llm-srbench,lsrtransform,lsrtransform,II.11.27_0_0,llm-srbench/lsrtransform/II.11.27_0_0,9ed5d28d3bc26c5e,4,120000,rational,medium,one_method_wins,udsr,eligible,0.6791665468458793,0.6443093844072413,0.4660455302216894,0.4974614454612671,0.9368475375806308,True,False
25,g0184,MatSci21,sim-datasets-data/llm-srbench/matsci/MatSci21,llm-srbench,matsci,matsci,MatSci21,llm-srbench/matsci/MatSci21,29a5a71508fb5ba3,2,5000,polynomial,medium,all_good,udsr,eligible,0.8016037991717734,0.36794732364505167,0.1124978948008464,0.1366297190498773,0.8233779267289467,True,False
26,g0208,PO19,sim-datasets-data/llm-srbench/phys_osc/PO19,llm-srbench,phys_osc,phys_osc,PO19,llm-srbench/phys_osc/PO19,3af4cc2533a0afd5,3,5000,exponential_log,hard,ood_failure,imcts,eligible,0.8850310204260766,0.5107754502786946,0.2815036503011792,0.3101477850865222,0.9076435939165192,True,False
27,g0233,PO41,sim-datasets-data/llm-srbench/phys_osc/PO41,llm-srbench,phys_osc,phys_osc,PO41,llm-srbench/phys_osc/PO41,7a1764f4b4788349,3,5000,exponential_log,hard,ood_failure,imcts,eligible,0.8487136348257068,0.4485982836808284,0.2208297863546982,0.263873143502733,0.8368785978873632,True,False
28,g0636,Nguyen-12,sim-datasets-data/nguyen/Nguyen-12,nguyen,nguyen,nguyen,Nguyen-12,nguyen/nguyen/Nguyen-12,d88277d172cb1a06,2,220,polynomial,medium,ood_failure,imcts,eligible,0.931023994018468,0.6288489823058623,0.4487358733454927,0.4868954591783466,0.9216267370879788,True,False
29,g0641,Nguyen-6,sim-datasets-data/nguyen/Nguyen-6,nguyen,nguyen,nguyen,Nguyen-6,nguyen/nguyen/Nguyen-6,74e7a59e7ee07d7a,1,220,polynomial,easy,ood_failure,dso,eligible,0.8929397527361419,0.5860557186940578,0.4083732165095656,0.4752564245218135,0.8592692185496631,True,False
30,g0644,Nguyen-9,sim-datasets-data/nguyen/Nguyen-9,nguyen,nguyen,nguyen,Nguyen-9,nguyen/nguyen/Nguyen-9,2436737a16bbad17,2,220,polynomial,easy,all_good,imcts,eligible,0.8551041291512527,0.6201520184581854,0.4497240064125454,0.5098633461453964,0.8820481209572942,True,False
31,g0524,feynman_I_12_11,sim-datasets-data/srbench1.0/feynman/feynman_I_12_11,srbench1.0,feynman,feynman,feynman_I_12_11,feynman-i.12.11,84bc2e6c0a872e41,5,90000,trigonometric,medium,one_method_wins,dso,eligible,0.9003268463624446,0.6878162934912265,0.52208863506762,0.5435889772232887,0.9604474280080242,True,False
32,g0542,feynman_I_27_6,sim-datasets-data/srbench1.0/feynman/feynman_I_27_6,srbench1.0,feynman,feynman,feynman_I_27_6,feynman-i.27.6,e5f0c964a7005ba8,3,110000,rational,easy,all_good,dso,eligible,0.8192059259242267,0.7590131263951229,0.6298015050714811,0.6601857879483991,0.953976163329204,True,False
33,g0578,feynman_test_15,sim-datasets-data/srbench1.0/feynman/feynman_test_15,srbench1.0,feynman,feynman,feynman_test_15,srbench1.0/feynman/feynman_test_15,c0bc188bcf75a7e6,4,110000,trigonometric,hard,all_good,udsr,eligible,0.802938784596245,0.31903488858087037,0.0220851222481489,0.0254558000069849,0.8675870427206737,True,False
34,g0496,feynman_II_15_4,sim-datasets-data/srbench1.0/feynman/feynman_II_15_4,srbench1.0,feynman,feynman,feynman_II_15_4,feynman-ii.15.4,756b399e5fb46b1f,3,90000,trigonometric,easy,all_good,dso,eligible,0.7816946326887728,0.7319642040485066,0.574265558130975,0.574265558130975,1.0,True,False
35,g0497,feynman_II_15_5,sim-datasets-data/srbench1.0/feynman/feynman_II_15_5,srbench1.0,feynman,feynman,feynman_II_15_5,feynman-ii.15.5,fc52b9d5fb6ec7d6,3,90000,trigonometric,easy,all_good,dso,eligible,0.5661244065615778,0.680998183959096,0.5266549292569082,0.5743359046113534,0.9169806815635,True,False
36,g0488,feynman_II_10_9,sim-datasets-data/srbench1.0/feynman/feynman_II_10_9,srbench1.0,feynman,feynman,feynman_II_10_9,feynman-ii.10.9,171813158597b0a4,3,90000,rational,easy,all_good,dso,eligible,0.4196962924504634,0.6937520675096855,0.5258625336138949,0.5394095273485292,0.974885512680459,True,False
37,g0594,strogatz_barmag1,sim-datasets-data/srbench1.0/strogatz/strogatz_barmag1,srbench1.0,strogatz,strogatz,strogatz_barmag1,srbench1.0/strogatz/strogatz_barmag1,597ac90e10c22e23,2,1320,trigonometric,medium,ood_failure,imcts,eligible,0.9695119486523507,0.75509761399153,0.6285093489508018,0.6691718941607046,0.9392345291774352,True,False
38,g0595,strogatz_barmag2,sim-datasets-data/srbench1.0/strogatz/strogatz_barmag2,srbench1.0,strogatz,strogatz,strogatz_barmag2,srbench1.0/strogatz/strogatz_barmag2,7a72be3131239cf4,2,1320,trigonometric,medium,ood_failure,imcts,eligible,0.9695119486523507,0.776428310473176,0.6712890919562494,0.7474199161787607,0.89814183088439,True,False
39,g0602,strogatz_shearflow1,sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow1,srbench1.0,strogatz,strogatz,strogatz_shearflow1,srbench1.0/strogatz/strogatz_shearflow1,37a195b09b5a993f,2,1320,trigonometric,medium,ood_failure,dso,eligible,0.9679961821860091,0.8699003763248789,0.7816462291969003,0.7816462291969003,1.0,True,False
40,g0604,strogatz_vdp1,sim-datasets-data/srbench1.0/strogatz/strogatz_vdp1,srbench1.0,strogatz,strogatz,strogatz_vdp1,srbench1.0/strogatz/strogatz_vdp1,ec1d0675db1548f6,2,1320,rational,medium,all_good,imcts,eligible,0.9188716317611566,0.7707473971689112,0.6674175025803808,0.7574465278107874,0.8811414114068048,True,False
41,g0601,strogatz_predprey2,sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2,srbench1.0,strogatz,strogatz,strogatz_predprey2,srbench1.0/strogatz/strogatz_predprey2,e307224c4f71eaf8,2,1320,rational,medium,all_good,udsr,eligible,0.8871187663341845,0.7574159972277246,0.6472446792484766,0.7315872294395793,0.884712927184757,True,False
42,g0596,strogatz_glider1,sim-datasets-data/srbench1.0/strogatz/strogatz_glider1,srbench1.0,strogatz,strogatz,strogatz_glider1,srbench1.0/strogatz/strogatz_glider1,8cde320775cc2492,2,1320,trigonometric,medium,all_good,udsr,eligible,0.6697921651081163,0.8325982934598659,0.7406048214316759,0.7817654785937616,0.9473490985607024,True,False
43,g0599,strogatz_lv2,sim-datasets-data/srbench1.0/strogatz/strogatz_lv2,srbench1.0,strogatz,strogatz,strogatz_lv2,srbench1.0/strogatz/strogatz_lv2,f8d3784aab65b6f8,2,1320,polynomial,medium,all_good,imcts,eligible,0.5654923548979379,0.6857883977644676,0.5542628116536626,0.6536268028972284,0.84798054363265,True,False
44,g0608,first_principles_hubble,sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble,srbench2025/firstprinciples,firstprinciples,firstprinciples,first_principles_hubble,srbench2025/firstprinciples/firstprinciples/first_principles_hubble,f29f40e8e72beaaf,1,32,trigonometric,hard,all_good,dso,eligible,0.9786741653992485,0.34058177275704127,0.0071787132925597,0.0074835151891826,0.9592702240969024,True,False
45,g0611,first_principles_leavitt,sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt,srbench2025/firstprinciples,firstprinciples,firstprinciples,first_principles_leavitt,srbench2025/firstprinciples/firstprinciples/first_principles_leavitt,bc322f5cb39c50ac,1,26,exponential_log,medium,all_good,pyoperon,eligible,0.879631739184784,0.2780413509491785,0.0026835232986319,0.0034016694494201,0.7888842048098856,True,False
46,g0617,first_principles_tully_fisher,sim-datasets-data/srbench2025/firstprinciples/first_principles_tully_fisher,srbench2025/firstprinciples,firstprinciples,firstprinciples,first_principles_tully_fisher,srbench2025/firstprinciples/firstprinciples/first_principles_tully_fisher,dbc6d74f53acbb58,1,18,exponential_log,medium,all_good,pyoperon,eligible,0.12963173918478402,0.3118266327449536,0.0130358472034982,0.0150708636705507,0.8649701495854502,True,False
47,g0270,feynman-iii.7.38,sim-datasets-data/srsd/srsd-feynman_easy/feynman-iii.7.38,srsd,srsd-feynman_easy,easy non-dummy,feynman-iii.7.38,feynman-iii.7.38,277a137b79c1465e,2,11000,polynomial,easy,all_good,imcts,eligible,0.8281581543534156,0.6603786059582654,0.4959376121996539,0.5398609065416865,0.9186396091848874,True,False
48,g0266,feynman-ii.4.23,sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.4.23,srsd,srsd-feynman_easy,easy non-dummy,feynman-ii.4.23,feynman-ii.4.23,42eb18d597e20d3e,2,11000,rational,easy,all_good,udsr,eligible,0.8136610616131116,0.6668337645819542,0.5214053437891167,0.6006938307393019,0.8680051585470736,True,False
49,g0264,feynman-ii.38.14,sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.38.14,srsd,srsd-feynman_easy,easy non-dummy,feynman-ii.38.14,feynman-ii.38.14,5a5eeabfb827851b,2,11000,rational,easy,all_good,udsr,eligible,0.6562674504724011,0.6272496630889021,0.4737052355589965,0.564867129126901,0.8386135626110679,True,False
50,g0290,feynman-ii.27.18,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,srsd,srsd-feynman_easy_dummy,easy dummy,feynman-ii.27.18,feynman-ii.27.18,1d964dc34d8cbc5c,3,11000,polynomial,medium,ood_failure,imcts,eligible,0.9613992869523261,1.0,0.9772450109951428,0.9772450109951428,1.0,True,False
51,g0277,feynman-i.18.16,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.16,srsd,srsd-feynman_easy_dummy,easy dummy,feynman-i.18.16,feynman-i.18.16,01f6f4534a22a35c,6,11000,trigonometric,medium,all_good,dso,eligible,0.9263460391947888,0.8774857526881183,0.7940578401030525,0.7969146284902705,0.9964151889235237,True,False
52,g0292,feynman-ii.34.11,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11,srsd,srsd-feynman_easy_dummy,easy dummy,feynman-ii.34.11,feynman-ii.34.11,e5fdf608d7db4bfc,7,11000,rational,medium,one_method_wins,imcts,eligible,0.9114820150834576,0.6883797246250138,0.5451435245458492,0.6108946867468087,0.8923690717444223,True,False
53,g0275,feynman-i.14.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.14.4,srsd,srsd-feynman_easy_dummy,easy dummy,feynman-i.14.4,feynman-i.14.4,352e253f8ddececd,5,11000,polynomial,medium,all_good,imcts,eligible,0.7512683398834524,0.8014802342379257,0.6787797022645099,0.6787797022645099,1.0,True,False
54,g0289,feynman-ii.27.16,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.16,srsd,srsd-feynman_easy_dummy,easy dummy,feynman-ii.27.16,feynman-ii.27.16,f2d941363541d427,4,11000,polynomial,easy,all_good,imcts,eligible,0.6680247575364106,0.6392216352103108,0.4694066866201579,0.5182673307198975,0.90572308690214,True,False
55,g0297,feynman-ii.8.31,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.8.31,srsd,srsd-feynman_easy_dummy,easy dummy,feynman-ii.8.31,feynman-ii.8.31,d223375e038b9e6d,3,11000,polynomial,easy,all_good,imcts,eligible,0.563276694161732,0.8177697315125089,0.7204976633302447,0.7659114890924774,0.9407061698264336,True,False
56,g0320,feynman-i.29.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.29.16,srsd,srsd-feynman_hard,hard non-dummy,feynman-i.29.16,feynman-i.29.16,acfca8f2416dfd4b,4,11000,trigonometric,hard,all_good,pyoperon,eligible,0.9352348463789356,0.3434417088970696,0.0022506770370541,0.0023037701273342,0.9769538246676112,True,False
57,g0390,feynman-iii.10.19,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19,srsd,srsd-feynman_hard_dummy,hard dummy,feynman-iii.10.19,feynman-iii.10.19,fff606573a5bf48e,6,11000,polynomial,hard,one_method_wins,udsr,eligible,0.9535507782680769,0.9153728754892688,0.8501117055567987,0.8504321294964625,0.9996232222083924,True,False
58,g0365,feynman-i.15.3t,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3t,srsd,srsd-feynman_hard_dummy,hard dummy,feynman-i.15.3t,feynman-i.15.3t,cdbf541678b8934d,5,11000,rational,hard,ood_failure,dso,eligible,0.9464921182203527,0.8724584289008982,0.8013240764619718,0.8524627154056814,0.940010703084682,True,False
59,g0358,feynman-bonus.20,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.20,srsd,srsd-feynman_hard_dummy,hard dummy,feynman-bonus.20,feynman-bonus.20,c028438b681c387e,6,11000,trigonometric,extreme,all_struggle,udsr,limited_quota,0.9367248860515461,0.8561269285424268,0.76903135179792,0.7917028454369966,0.971363632491983,True,False
60,g0371,feynman-i.39.22,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.39.22,srsd,srsd-feynman_hard_dummy,hard dummy,feynman-i.39.22,feynman-i.39.22,aa5587573f39128c,5,11000,rational,medium,one_method_wins,imcts,eligible,0.9094351090638256,0.6836523019609968,0.5312050313439156,0.5806096621387835,0.9149090447222722,True,False
61,g0399,feynman-i.13.12,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.13.12,srsd,srsd-feynman_medium,medium non-dummy,feynman-i.13.12,feynman-i.13.12,51d2f530c74cd78e,4,11000,rational,medium,one_sided,imcts,limited_quota,0.9330289756580625,0.7659188452510033,0.6903972226938138,0.9630331589734864,0.7168987030827889,True,False
62,g0406,feynman-i.32.5,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.32.5,srsd,srsd-feynman_medium,medium non-dummy,feynman-i.32.5,feynman-i.32.5,f21f2dd22da7d7ed,2,11000,rational,medium,one_method_wins,imcts,eligible,0.9094351090638256,0.68724903911739,0.5352992730033562,0.5827773938740399,0.9185312927890515,True,False
63,g0413,feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,srsd,srsd-feynman_medium,medium non-dummy,feynman-i.43.31,feynman-i.43.31,9e63d417750a08c5,2,11000,polynomial,easy,all_good,udsr,eligible,0.8256717595683938,0.8622319253265726,0.7701170669197377,0.7701170669197377,1.0,True,False
64,g0405,feynman-i.29.4,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.29.4,srsd,srsd-feynman_medium,medium non-dummy,feynman-i.29.4,feynman-i.29.4,e4a85f82ec234eae,1,11000,polynomial,easy,all_good,imcts,eligible,0.5647005343858955,0.8121381623182324,0.7044581407273106,0.7276989837935918,0.9680625594045444,True,False
65,g0436,feynman-i.11.19,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19,srsd,srsd-feynman_medium_dummy,medium dummy,feynman-i.11.19,feynman-i.11.19,100e01484deeb02b,8,11000,polynomial,medium,one_method_wins,imcts,eligible,0.9324103629758148,0.7405161760801563,0.5871230535188208,0.5871230535188208,1.0,True,False
66,g0461,feynman-ii.34.2a,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a,srsd,srsd-feynman_medium_dummy,medium dummy,feynman-ii.34.2a,feynman-ii.34.2a,449c32b50f76ff0a,5,11000,rational,medium,all_good,imcts,eligible,0.9163874668557193,0.8720246807901093,0.7891904538661263,0.801666547478833,0.98443730295103,True,False
67,g0448,feynman-i.34.27,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.34.27,srsd,srsd-feynman_medium_dummy,medium dummy,feynman-i.34.27,feynman-i.34.27,182bc635bff785ec,4,11000,rational,medium,all_good,udsr,eligible,0.7364191908693218,0.8414398278431492,0.753464283512711,0.7946717291212048,0.9481453232845424,True,False
68,g0660,Vladislavleva-4,sim-datasets-data/vladislavleva/Vladislavleva-4,vladislavleva,vladislavleva,vladislavleva,Vladislavleva-4,vladislavleva/vladislavleva/Vladislavleva-4,d36bfdef862e0dbb,5,6024,polynomial,medium,one_method_wins,udsr,eligible,0.9349387407537666,0.6345472360602833,0.4608196760370773,0.5058951154032241,0.9108996351344104,True,False
69,g0661,Vladislavleva-5,sim-datasets-data/vladislavleva/Vladislavleva-5,vladislavleva,vladislavleva,vladislavleva,Vladislavleva-5,vladislavleva/vladislavleva/Vladislavleva-5,f28d82ec12f9e3e6,3,2775,polynomial,medium,one_method_wins,imcts,eligible,0.12615259096183737,0.46205198180851664,0.2588859487585047,0.3288452615075466,0.7872576529510478,True,False
70,g0663,Vladislavleva-7,sim-datasets-data/vladislavleva/Vladislavleva-7,vladislavleva,vladislavleva,vladislavleva,Vladislavleva-7,vladislavleva/vladislavleva/Vladislavleva-7,cf66dbbc975d3ac5,2,1300,polynomial,hard,all_good,imcts,eligible,0.039879783315092066,0.1032852686374356,0.0113781025767032,0.0448079575032322,0.2539304001054387,True,False
71,g0631,Keijzer-8,sim-datasets-data/keijzer/Keijzer-8,keijzer,keijzer,keijzer,Keijzer-8,keijzer/keijzer/Keijzer-8,4fc555586a1ba089,1,1092,polynomial,easy,all_good,imcts,eligible,0.3153342416997544,0.5943917939473682,0.4070742478945048,0.4535793236159618,0.8974709090557396,False,True
72,g0626,Keijzer-3,sim-datasets-data/keijzer/Keijzer-3,keijzer,keijzer,keijzer,Keijzer-3,keijzer/keijzer/Keijzer-3,4e5e718bba2786d4,1,6672,polynomial,medium,one_method_wins,imcts,eligible,0.30302185686798344,0.5794291449182888,0.4052083129593483,0.4821072313293957,0.8404941611060242,False,True
73,g0063,I.11.19_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0,llm-srbench,lsrtransform,lsrtransform,I.11.19_1_0,llm-srbench/lsrtransform/I.11.19_1_0,d22c6713d6bd9169,6,120000,rational,medium,one_method_wins,udsr,eligible,0.652228671584962,0.661864639166566,0.4832886701311165,0.5027976243336365,0.961199191765523,False,True
74,g0064,I.11.19_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0,llm-srbench,lsrtransform,lsrtransform,I.11.19_2_0,llm-srbench/lsrtransform/I.11.19_2_0,22211db64c785b74,6,120000,rational,medium,one_method_wins,udsr,eligible,0.652228671584962,0.6525573445258275,0.4726166684239365,0.4961750597990869,0.952520000935376,False,True
75,g0065,I.11.19_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0,llm-srbench,lsrtransform,lsrtransform,I.11.19_3_0,llm-srbench/lsrtransform/I.11.19_3_0,dfdf145809cae236,6,120000,rational,medium,one_method_wins,udsr,eligible,0.45160270835144756,0.6278705384534214,0.4379616094515111,0.4622764552565566,0.9474019376748248,False,True
76,g0583,feynman_test_2,sim-datasets-data/srbench1.0/feynman/feynman_test_2,srbench1.0,feynman,feynman,feynman_test_2,srbench1.0/feynman/feynman_test_2,248fbe84756c852c,6,110000,trigonometric,hard,all_good,pyoperon,eligible,0.39268795470831536,0.3284966712701811,0.0033538224873462,0.0035983467809138,0.932045378487533,False,True
77,g0505,feynman_II_34_29a,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29a,srbench1.0,feynman,feynman,feynman_II_34_29a,feynman-ii.34.29a,101873b4ac3336e7,3,90000,rational,medium,all_good,udsr,eligible,0.38282709275895055,0.7201337882504272,0.5924045205667647,0.6670715779520071,0.8880673980827072,False,True
